Iterations;Overall best;Worst;Average;Best;FFE
0;2.14224e+06;-205159;20795;2.14224e+06;100
1;2.15277e+06;-160735;110178;2.15277e+06;187
2;4.59848e+06;-61429;714151;4.59848e+06;280
3;5.30088e+06;-209427;1.77357e+06;5.30088e+06;368
4;6.97914e+06;-286166;2.6642e+06;6.97914e+06;454
5;6.97914e+06;-65680;2.81868e+06;6.77156e+06;549
6;7.24811e+06;-90392;3.57625e+06;7.24811e+06;638
7;7.78876e+06;-124239;4.15712e+06;7.78876e+06;726
8;8.59757e+06;-130641;4.03491e+06;8.59757e+06;815
9;8.61339e+06;-143468;4.48054e+06;8.61339e+06;904
10;8.72011e+06;-143498;5.51056e+06;8.72011e+06;995
11;9.19666e+06;-156485;6.10996e+06;9.19666e+06;1086
12;9.22423e+06;-155304;6.25052e+06;9.22423e+06;1179
13;9.23204e+06;-120908;6.52184e+06;9.23204e+06;1270
14;9.23204e+06;-154900;6.28992e+06;9.23204e+06;1362
15;9.23204e+06;-295344;7.31698e+06;9.23204e+06;1456
16;9.23204e+06;-92069;6.49416e+06;9.23204e+06;1548
17;9.23511e+06;-29908;6.85384e+06;9.23511e+06;1639
18;9.23511e+06;-134215;7.03041e+06;9.23204e+06;1732
19;9.23511e+06;-134431;5.86189e+06;9.23204e+06;1826
20;9.23511e+06;-129163;6.51668e+06;9.23204e+06;1920
21;9.23511e+06;-78781;6.70854e+06;9.23204e+06;2010
22;9.23511e+06;-24503;6.71765e+06;9.23204e+06;2100
23;9.23511e+06;-55666;6.48102e+06;9.23204e+06;2199
24;9.23511e+06;-8488;7.14228e+06;9.23204e+06;2291
25;9.23511e+06;-122420;6.91456e+06;9.23204e+06;2382
26;9.23511e+06;-122420;7.02053e+06;9.23511e+06;2466
27;9.23511e+06;-134215;7.1915e+06;9.23511e+06;2557
28;9.23511e+06;-134431;6.21281e+06;9.23511e+06;2651
29;9.23511e+06;-97229;6.29294e+06;9.23511e+06;2739
30;9.23511e+06;-134475;6.94537e+06;9.23511e+06;2825
31;9.23511e+06;-33507;6.29019e+06;9.23511e+06;2919
32;9.23511e+06;-101724;7.63293e+06;9.23511e+06;3013
33;9.23511e+06;-120373;7.2486e+06;9.23511e+06;3106
34;9.23511e+06;-130817;6.33567e+06;9.23511e+06;3193
35;9.23511e+06;-134475;6.14517e+06;9.23511e+06;3290
36;9.23511e+06;-133687;6.89047e+06;9.23511e+06;3379
37;9.23511e+06;-134475;6.15716e+06;9.23511e+06;3464
38;9.23511e+06;-25861;6.65961e+06;9.23511e+06;3558
39;9.23511e+06;-134475;5.95533e+06;9.23511e+06;3652
40;9.23511e+06;-134475;6.29637e+06;9.23511e+06;3752
