Iterations;Overall best;Worst;Average;Best
83;-2.54742e+06;-2.65219e+06;-2.59396e+06;-2.54742e+06
84;-2.52976e+06;-2.69e+06;-2.58711e+06;-2.52976e+06
85;-2.5244e+06;-2.64473e+06;-2.57803e+06;-2.5244e+06
86;-2.52027e+06;-2.66863e+06;-2.56892e+06;-2.52027e+06
87;-2.52027e+06;-2.6245e+06;-2.5629e+06;-2.5262e+06
88;-2.52027e+06;-2.61429e+06;-2.56243e+06;-2.53435e+06
89;-2.51269e+06;-2.60772e+06;-2.55769e+06;-2.51269e+06
90;-2.51269e+06;-2.66496e+06;-2.5582e+06;-2.51616e+06
91;-2.49789e+06;-2.65571e+06;-2.55076e+06;-2.49789e+06
92;-2.49789e+06;-2.58761e+06;-2.54525e+06;-2.49987e+06
93;-2.49789e+06;-2.59121e+06;-2.54317e+06;-2.49987e+06
94;-2.49482e+06;-2.59773e+06;-2.53489e+06;-2.49482e+06
95;-2.4892e+06;-2.57111e+06;-2.52854e+06;-2.4892e+06
96;-2.48571e+06;-2.635e+06;-2.5238e+06;-2.48571e+06
97;-2.47744e+06;-2.64035e+06;-2.52138e+06;-2.47744e+06
98;-2.47744e+06;-2.57246e+06;-2.5198e+06;-2.48329e+06
99;-2.47744e+06;-2.57666e+06;-2.51618e+06;-2.48996e+06
Best solution:
	TSP: [72, 150, 47, 304, 359, 438, 14, 412, 242, 159, 385, 347, 284, 411, 285, 19, 185, 363, 417, 45, 3, 120, 369, 156, 105, 91, 167, 161, 318, 383, 375, 238, 46, 353, 350, 376, 358, 419, 432, 328, 70, 172, 170, 82, 146, 48, 28, 126, 115, 311, 240, 187, 351, 409, 294, 51, 413, 397, 22, 9, 18, 136, 401, 229, 423, 389, 320, 113, 307, 193, 204, 305, 148, 312, 153, 430, 264, 89, 228, 222, 201, 431, 184, 1, 348, 59, 436, 394, 5, 77, 112, 11, 253, 313, 140, 282, 36, 110, 371, 96, 202, 437, 144, 349, 149, 85, 420, 393, 373, 232, 65, 98, 236, 169, 407, 188, 273, 370, 137, 251, 195, 415, 381, 25, 212, 398, 142, 207, 162, 426, 341, 422, 54, 114, 97, 316, 205, 26, 180, 336, 339, 287, 333, 384, 390, 102, 299, 290, 382, 410, 403, 183, 151, 191, 34, 57, 192, 174, 206, 378, 67, 177, 79, 63, 259, 416, 220, 254, 168, 76, 283, 345, 308, 189, 123, 329, 408, 427, 38, 12, 50, 44, 122, 404, 310, 269, 152, 160, 73, 83, 6, 346, 372, 399, 425, 424, 374, 355, 92, 197, 74, 199, 291, 208, 315, 278, 181, 135, 78, 17, 53, 52, 377, 439, 360, 361, 175, 127, 134, 106, 178, 118, 157, 32, 111, 173, 226, 66, 198, 245, 357, 364, 235, 265, 386, 323, 366, 21, 433, 395, 396, 23, 117, 88, 40, 143, 164, 391, 414, 227, 27, 158, 368, 306, 392, 317, 225, 342, 280, 256, 418, 340, 295, 270, 272, 379, 81, 108, 71, 37, 190, 182, 258, 326, 274, 293, 246, 301, 337, 247, 266, 257, 171, 249, 319, 230, 84, 210, 194, 80, 243, 95, 309, 429, 186, 421, 41, 4, 69, 300, 271, 276, 13, 43, 292, 16, 103, 237, 223, 297, 365, 321, 322, 211, 20, 130, 125, 129, 209, 405, 239, 267, 42, 354, 39, 56, 298, 2, 147, 62, 15, 286, 101, 132, 116, 107, 90, 302, 176, 30, 277, 338, 303, 244, 131, 179, 261, 217, 61, 343, 380, 8, 10, 60, 263, 124, 332, 87, 406, 331, 352, 289, 35, 281, 344, 435, 402, 215, 104, 7, 49, 262, 388, 219, 335, 86, 94, 24, 145, 93, 221, 387, 428, 314, 128, 196, 139, 33, 31, 119, 155, 58, 55, 296, 218, 233, 75, 324, 203, 252, 400, 330, 241, 214, 213, 260, 362, 255, 121, 166, 288, 231, 250, 325, 268, 138, 68, 248, 224, 434, 275, 279, 64, 29, 133, 163, 99, 154, 356, 100, 334, 367, 327, 109, 216, 165, 234, 200, 141]
KSP: 
