Iterations;Overall best;Worst;Average;Best
0;-27751.9;-97389.2;-49781.3;-27751.9
1;-27049;-63520.5;-43443.6;-27049
2;-19690.1;-73069.8;-40973.7;-19690.1
3;-18202.5;-58916.3;-35123;-18202.5
4;-18202.5;-54619.7;-32115.9;-22035.7
5;-18202.5;-50312.2;-29013.7;-19536.9
6;-18202.5;-41677.6;-27947.9;-19536.9
7;-18202.5;-40703;-27222.1;-18991.2
8;-18202.5;-36850.4;-25976.8;-18859.3
9;-17476.2;-30885.8;-24331.9;-17476.2
10;-13926.1;-31816.8;-22728.1;-13926.1
11;-13926.1;-32148.5;-21414.4;-14379.2
12;-13597.4;-39032.5;-20466.7;-13597.4
13;-11872.2;-29727.9;-19398.5;-11872.2
14;-11872.2;-27867.6;-19174.6;-12071.4
15;-11502.2;-31225;-17387.1;-11502.2
16;-11502.2;-24298.6;-17299.4;-12071.4
17;-11502.2;-33879.4;-17256.2;-11676.2
18;-11471.6;-27561.8;-16050.8;-11471.6
19;-11471.6;-24678.4;-15823.4;-11599.4
20;-10582.3;-22443.7;-15416.1;-10582.3
21;-10281.3;-20655.2;-14482;-10281.3
22;-9812.31;-23447.2;-14376;-9812.31
23;-9812.31;-19158;-13333.4;-10101.9
24;-9812.31;-18684.5;-13381.2;-10548.7
25;-9812.31;-19691;-13191.7;-10521.2
26;-9713.77;-17737.6;-12725.2;-9713.77
27;-9314.23;-19059;-12449.9;-9314.23
28;-6992;-16594.6;-11656.3;-6992
29;-6992;-22057.7;-11497.4;-8851.31
30;-6992;-15818.9;-11230.6;-8868.13
31;-6992;-17622.8;-10890.1;-8100.17
32;-6992;-17937.7;-10531.3;-7447.79
33;-6992;-17117.1;-10286.8;-7447.79
34;-6992;-13817.4;-9670.78;-7303.75
35;-6552.82;-15111.6;-9170.12;-6552.82
36;-6509.65;-10833.9;-8055.05;-6509.65
37;-5731.24;-13865.3;-7867.76;-5731.24
38;-5731.24;-9340.21;-7424.69;-5978.8
39;-5278.06;-11064.1;-7279.2;-5278.06
40;-4681.29;-10905.3;-7090.19;-4681.29
41;-3977.74;-11526;-6937.98;-3977.74
42;-3977.74;-19365.9;-6908.92;-3980.92
43;-3791.65;-11856.1;-6261.97;-3791.65
44;-3791.65;-9204.92;-5959.17;-3974.93
45;-3752.89;-13102;-5588.52;-3752.89
46;-2963.24;-16771.6;-5572.61;-2963.24
47;-2596.82;-8920.65;-5107.56;-2596.82
48;-2596.82;-7236.56;-4679.01;-2596.82
49;-2552.3;-9701.65;-4811.81;-2552.3
50;-1642.57;-17457.7;-4382.13;-1642.57
51;-1642.57;-19348.5;-3826.29;-1816.99
52;-1245.75;-7303.45;-3476.36;-1245.75
53;-1194.68;-5703.37;-3239.29;-1194.68
54;-705.793;-6539.04;-3033.79;-705.793
55;-705.793;-7417.25;-2862.4;-815.697
56;-553.437;-8583.36;-2836.74;-553.437
57;-423.209;-7930;-2798.31;-423.209
58;-423.209;-8594.48;-2493.37;-423.209
59;-423.209;-8151.89;-2576.74;-423.209
60;52.3149;-5688.26;-2263.74;52.3149
61;52.3149;-8920.89;-1993.94;52.3149
62;52.3149;-3614.8;-1403.56;52.3149
63;52.3149;-7099.21;-1394.99;52.3149
64;52.3149;-3874.23;-995.952;52.3149
65;252.613;-5901.29;-912.133;252.613
66;252.613;-9081.64;-924.799;142.902
67;252.613;-5604.68;-672.035;224.142
68;252.613;-11232.8;-711.842;224.142
69;252.613;-4583.19;-541.623;224.142
70;252.613;-7051.21;-680.366;142.902
71;252.613;-4902.69;-359.125;142.902
72;252.613;-3595.4;-230.81;201.253
73;287.751;-10984.8;-361.272;287.751
74;470.957;-6818.54;-116.479;470.957
75;470.957;-4159.84;-42.1942;323.408
76;1459.63;-4749.32;-265.069;1459.63
77;1459.63;-9722.19;-189.876;402.708
78;1459.63;-12033.4;-246.146;402.708
79;1459.63;-6284.99;62.463;466.152
80;1459.63;-4683.42;55.1509;802.131
81;1459.63;-11380.5;-4.85591;958.414
82;1459.63;-7305.8;-0.276561;958.414
83;1459.63;-5081.6;100.426;1013.68
84;1459.63;-2941.41;239.051;1013.68
85;1459.63;-9574.36;135.098;1013.68
86;1627.59;-12249.8;348.167;1627.59
87;1627.59;-2653.09;521.922;1231.42
88;1627.59;-4992.65;566.588;1502.89
89;1627.59;-3317.54;686.436;1570.8
90;1808.08;-4553.68;891.287;1808.08
91;2007.23;-10831.4;821.047;2007.23
92;2007.23;-4906.86;1020.65;1930.24
93;2098.24;-8345.34;802.766;2098.24
94;2187.92;-559.241;1114.48;2187.92
95;2187.92;-2952.51;1095.73;2129.39
96;2187.92;-2651.06;1310.51;2169.15
97;2292.31;-3169.61;1411.32;2292.31
98;2464.37;-8938.21;1502.39;2464.37
99;2464.37;-9229.23;1511.63;2262.99
Best solution:
	TSP: [39, 6, 12, 13, 27, 4, 22, 7, 42, 45, 41, 19, 38, 37, 44, 30, 2, 50, 49, 46, 26, 47, 20, 23, 15, 33, 43, 40, 1, 29, 21, 18, 3, 8, 10, 9, 17, 31, 28, 14, 52, 11, 51, 24, 32, 34, 35, 5, 25, 48, 16, 36]
KSP: 
