Iterations;Overall best;Worst;Average;Best
0;-30350.6;-94847.4;-56003.3;-30350.6
1;-27183.8;-71548.5;-48472.9;-27183.8
2;-27183.8;-64457.1;-41932.3;-27570.2
3;-27183.8;-71117.4;-37915.8;-27570.2
4;-24437.1;-49648.1;-33570.3;-24437.1
5;-23520.7;-45183.9;-31909.7;-23520.7
6;-22782.4;-43556.3;-29781.1;-22782.4
7;-22782.4;-38822.6;-29080;-22782.4
8;-21710.7;-49647.1;-29011.5;-21710.7
9;-21710.7;-36002.6;-28061.3;-21710.7
10;-20481.4;-41083.9;-27478.3;-20481.4
11;-20136;-32584.9;-25758.3;-20136
12;-18146.5;-33822.6;-25550.6;-18146.5
13;-18146.5;-31877.9;-24847.6;-20111.9
14;-16607.2;-34145.1;-24711.4;-16607.2
15;-16607.2;-37759.5;-23513.9;-17997.8
16;-16607.2;-29136;-22073.7;-16968
17;-16306.4;-28650.2;-21254.4;-16306.4
18;-15351.4;-27399.7;-20841.9;-15351.4
19;-15351.4;-26287;-20675.4;-16811.3
20;-15351.4;-28282.4;-20495.3;-15675.7
21;-15351.4;-33621.3;-20241.9;-16475.4
22;-15158;-31818.5;-20067.6;-15158
23;-15158;-31781.5;-19489.2;-15347
24;-15158;-25843.6;-19221.2;-15886.5
25;-15158;-35343.4;-18824;-16233.5
26;-15158;-26750.6;-18632.3;-16048.1
27;-15158;-23221.5;-18393.2;-15697.1
28;-14966.1;-26668.4;-18480;-14966.1
29;-14966.1;-24096.2;-18326.6;-15153.9
30;-14966.1;-27774.5;-18531;-15074
31;-14966.1;-25257.1;-18380.7;-16131.1
32;-14966.1;-26408.4;-18453.5;-15830.4
33;-14891.2;-23650.7;-18075;-14891.2
34;-14891.2;-22890.7;-17940.2;-15030
35;-14249.6;-26637.7;-17620.6;-14249.6
36;-14249.6;-23651.2;-17204.3;-14408
37;-13534.7;-24738.7;-16937.7;-13534.7
38;-13534.7;-22353.9;-16889.5;-13760.4
39;-13534.7;-21984.6;-16868.6;-13760.4
40;-12978.3;-22574.1;-16660.9;-12978.3
41;-12855.5;-22380.9;-16346.3;-12855.5
42;-12759.8;-22172.8;-15847.8;-12759.8
43;-12244.9;-22633.2;-15583.4;-12244.9
44;-12014.6;-22666;-15641;-12014.6
45;-12014.6;-24132.9;-15328.5;-12392
46;-11361.4;-23808.4;-15221.2;-11361.4
47;-10897.1;-19104.5;-14013.9;-10897.1
48;-10897.1;-21484.1;-13489.6;-11685.2
49;-10897.1;-21918.5;-13939.1;-10935.8
50;-9747.54;-33160.6;-13019.1;-9747.54
51;-9747.54;-20388.5;-12849;-10582.6
52;-9747.54;-18210;-12541.8;-10187.5
53;-9612.49;-17105.7;-12339.4;-9612.49
54;-9612.49;-17877.8;-12151.6;-9612.49
55;-9612.49;-28293.2;-11954.3;-9612.49
56;-9612.49;-17344.3;-11842.3;-9779.32
57;-9612.49;-20835.3;-11925.7;-9825.52
58;-9612.49;-15403.7;-11760.2;-9879.2
59;-9612.49;-17012.2;-11545.2;-9790.78
60;-9551.65;-19907.6;-11170.3;-9551.65
61;-9395.28;-19939.9;-11038.1;-9395.28
62;-9305.39;-19650.2;-11001;-9305.39
63;-9230.59;-13900.3;-10525.1;-9230.59
64;-9230.59;-15037.5;-10392.4;-9278.05
65;-9068.85;-15412.1;-10171.9;-9068.85
66;-9068.85;-13447.4;-9820.84;-9068.85
67;-8945.02;-14680.9;-9711.75;-8945.02
68;-8695.68;-11482;-9535.79;-8695.68
69;-8695.68;-15310.8;-9748.79;-8695.68
70;-8695.68;-15718.9;-9834.18;-8695.68
71;-8546.7;-13531.4;-9427.72;-8546.7
72;-8546.7;-13313;-9335.6;-8695.68
73;-8378.08;-18760.2;-9470.95;-8378.08
74;-8378.08;-12617.7;-9146.05;-8486.16
75;-8378.08;-12232;-9035.63;-8675.76
76;-8378.08;-10677.9;-8791.4;-8460.83
77;-8378.08;-12029.1;-8809.43;-8498.05
78;-8378.08;-13184.6;-8902.63;-8420.82
79;-8378.08;-13970.4;-8926.79;-8671.58
80;-8378.08;-14962.3;-8898.78;-8438.42
81;-8378.08;-13780.3;-8759.74;-8438.42
82;-8378.08;-12175.7;-8863.82;-8530.99
83;-8378.08;-13375.4;-8834.17;-8424.3
84;-8351.27;-12358.3;-8754.3;-8351.27
85;-8136.46;-16990.3;-9036.24;-8136.46
86;-8136.46;-13054;-8692.37;-8268.21
87;-8136.46;-14453.2;-8787.48;-8268.21
88;-8136.46;-19713.2;-8650.77;-8228.45
89;-8136.46;-14918.9;-8611.97;-8268.21
90;-7700.77;-15625.4;-8579.18;-7700.77
91;-7700.77;-14097.5;-8568.65;-7991.91
92;-7700.77;-10301.7;-8312.11;-7862.85
93;-7700.77;-14061.6;-8627.55;-7862.85
94;-7700.77;-12985.5;-8405.08;-7862.85
95;-7700.77;-11753.9;-8392.09;-7808.76
96;-7700.77;-13813.7;-8573.89;-8063.68
97;-7700.77;-19086.1;-8678.04;-8063.68
98;-7700.77;-18912.3;-8507.92;-8063.68
99;-7084.64;-10687.3;-8259.67;-7084.64
Best solution:
	TSP: [6, 15, 30, 42, 2, 7, 3, 24, 43, 39, 32, 19, 49, 21, 50, 14, 27, 28, 12, 4, 5, 38, 25, 13, 33, 1, 18, 17, 41, 45, 20, 23, 31, 46, 40, 44, 16, 26, 47, 37, 51, 11, 52, 34, 8, 9, 10, 29, 22, 35, 36, 48]
KSP: 
