1;-1.06913e+06;-1.14633e+06;-1.01885e+06;-1.06913e+06
2;-1.06748e+06;-1.11675e+06;-1.08424e+06;-1.06748e+06
3;-1.03977e+06;-1.06748e+06;-1.06393e+06;-1.03977e+06
4;-1.02043e+06;-1.15577e+06;-1.05862e+06;-1.02043e+06
5;-1.01262e+06;-1.12513e+06;-1.03576e+06;-1.01262e+06
6;-999950;-1.09255e+06;-1.02822e+06;-999950
7;-999950;-1.07773e+06;-1.0247e+06;-1.0001e+06
8;-976799;-1.06862e+06;-1.01953e+06;-976799
9;-953032;-1.07178e+06;-1.00438e+06;-953032
10;-953032;-1.11311e+06;-981560;-970982
11;-953032;-1.03849e+06;-979819;-970307
12;-943228;-1.06234e+06;-964776;-943228
13;-937322;-1.03642e+06;-964035;-937322
14;-931055;-1.02675e+06;-949615;-931055
15;-931055;-1.00582e+06;-953261;-936441
16;-928500;-1.03137e+06;-944839;-928500
17;-908356;-1.00428e+06;-935262;-908356
18;-904739;-1.02034e+06;-916712;-904739
19;-895007;-1.04193e+06;-904700;-895007
20;-891916;-964487;-914207;-891916
21;-889683;-962674;-903053;-889683
22;-889683;-944722;-910313;-894066
23;-860220;-977822;-894717;-860220
24;-860220;-937680;-891541;-861782
25;-854930;-939894;-890431;-854930
26;-851862;-914095;-887349;-851862
27;-851862;-907840;-875164;-852890
28;-849041;-923565;-863877;-849041
29;-849041;-968432;-864859;-850669
30;-841922;-896237;-862276;-841922
31;-841922;-907991;-859424;-844632
32;-815311;-857526;-836245;-815311
33;-806349;-870626;-830863;-806349
34;-790889;-929753;-834567;-790889
35;-790889;-912468;-820120;-814239
36;-790889;-922333;-813359;-811956
37;-788594;-830097;-807047;-788594
38;-788594;-825597;-812954;-801577
39;-788594;-868409;-797591;-794501
40;-788594;-844894;-805779;-790228
41;-788594;-871241;-795706;-790507
42;-788594;-825855;-806835;-794169
43;-786035;-860432;-806253;-786035
44;-786035;-832487;-794441;-786836
45;-776954;-861610;-787174;-776954
46;-776954;-818375;-785644;-783007
47;-764831;-831172;-788132;-764831
48;-764831;-814282;-777972;-771052
49;-763263;-854317;-780604;-763263
50;-752768;-910901;-763443;-752768
51;-752768;-821085;-774797;-752768
52;-752768;-849679;-773560;-754391
53;-744375;-863109;-764536;-744375
54;-744375;-826097;-766534;-751187
55;-744375;-814840;-755257;-755598
56;-743954;-808590;-750511;-743954
57;-733913;-805934;-753491;-733913
58;-733913;-786214;-752346;-739068
59;-733913;-842009;-743903;-744633
60;-733164;-808228;-743851;-733164
61;-729272;-795347;-745034;-729272
62;-718279;-792545;-745526;-718279
63;-716859;-802747;-736758;-716859
64;-708560;-796163;-738603;-708560
65;-708560;-785592;-728728;-720872
66;-708560;-783660;-738019;-712919
67;-708560;-760470;-731985;-711880
68;-708560;-796023;-727716;-716940
69;-701791;-784858;-729714;-701791
70;-701791;-783442;-725263;-701791
71;-699133;-807247;-716561;-699133
72;-699133;-773980;-722021;-700908
73;-686795;-806179;-715316;-686795
74;-686795;-821862;-713073;-686795
75;-683242;-789703;-705703;-683242
76;-683242;-791157;-706464;-687385
77;-683242;-780868;-704829;-687385
78;-680143;-760447;-694088;-680143
79;-670507;-711353;-704985;-670507
80;-667686;-714967;-695613;-667686
81;-667686;-714441;-686896;-676252
82;-667686;-725113;-685438;-676252
83;-667686;-739398;-694823;-672000
84;-667686;-710170;-688838;-671097
85;-664696;-709053;-684697;-664696
86;-664696;-771741;-679153;-664696
87;-664108;-725602;-674439;-664108
88;-659084;-733541;-676135;-659084
89;-659084;-712922;-677229;-659084
90;-659084;-714723;-669593;-665773
91;-659084;-756066;-669407;-659522
