Iterations;Overall best;Worst;Average;Best;FFE
0;-3664;-38111;-8524;-3664;100
1;-3008;-15726;-5558;-3008;184
2;-2194;-15636;-4734;-2194;276
3;-1935;-9904;-3978;-1935;366
4;-1541;-25098;-3811;-1541;455
5;-1437;-6801;-3089;-1437;549
6;-1377;-10673;-2923;-1377;642
7;-1317;-5591;-2448;-1317;731
8;-1170;-11324;-2643;-1170;824
9;-1170;-7571;-2720;-1377;917
10;-1021;-8919;-2498;-1021;1012
11;-962;-8944;-2110;-962;1105
12;-949;-4817;-1838;-949;1197
13;-949;-7150;-2004;-949;1289
14;-949;-4607;-1732;-949;1373
15;-949;-9369;-1805;-949;1463
16;-949;-11073;-1678;-949;1558
17;-949;-4641;-1778;-949;1646
18;-949;-4641;-1689;-949;1740
19;-949;-6392;-1757;-949;1831
20;-949;-6756;-1662;-949;1917
21;-949;-14614;-2076;-949;2005
22;-949;-7668;-1897;-949;2097
23;-949;-4641;-1928;-949;2193
24;-949;-23440;-2101;-949;2286
25;-949;-14060;-1980;-949;2378
26;-949;-4641;-1605;-949;2469
27;-949;-14672;-1875;-949;2562
28;-949;-7982;-1827;-949;2657
29;-949;-15502;-1890;-949;2746
30;-949;-4996;-1802;-949;2840
31;-949;-4641;-1871;-949;2935
32;-949;-4641;-1623;-949;3020
33;-949;-4641;-1789;-949;3113
34;-949;-9930;-1802;-949;3206
35;-949;-4167;-1699;-949;3298
36;-949;-7150;-1911;-949;3390
37;-949;-14914;-2053;-949;3484
38;-949;-6755;-1749;-949;3573
39;-949;-4641;-1585;-949;3664
40;-949;-6228;-1659;-949;3757
41;-949;-5202;-1769;-949;3852
42;-949;-12938;-1917;-949;3945
43;-949;-7150;-2040;-949;4039
44;-949;-7658;-1714;-949;4124
45;-949;-4996;-1760;-949;4217
46;-949;-3715;-1599;-949;4311
47;-949;-9264;-1736;-949;4405
48;-949;-5225;-1682;-949;4491
49;-949;-8193;-1870;-949;4578
50;-949;-4641;-1625;-949;4666
51;-949;-7252;-1617;-949;4764
52;-949;-5605;-1652;-949;4860
53;-949;-5728;-1771;-949;4952
54;-949;-7150;-1679;-949;5045
55;-949;-5830;-1654;-949;5136
56;-949;-4267;-1745;-949;5227
57;-949;-7150;-1940;-949;5325
58;-949;-4641;-1755;-949;5423
59;-949;-4641;-1622;-949;5512
60;-949;-4641;-1714;-949;5603
61;-949;-7126;-1734;-949;5696
62;-949;-4956;-1701;-949;5789
63;-949;-8004;-1772;-949;5882
64;-949;-9526;-1845;-949;5975
65;-949;-7150;-1719;-949;6068
66;-949;-9888;-1724;-949;6159
67;-949;-5039;-1890;-949;6253
68;-949;-4641;-1620;-949;6347
69;-949;-9888;-1840;-949;6435
70;-949;-4690;-1648;-949;6528
71;-949;-4167;-1634;-949;6611
72;-949;-9611;-1699;-949;6705
73;-949;-6478;-1856;-949;6796
74;-949;-6019;-1797;-949;6888
75;-949;-8178;-1746;-949;6975
76;-949;-4167;-1704;-949;7067
77;-949;-14342;-1850;-949;7162
78;-949;-11075;-1986;-949;7255
79;-949;-9516;-1820;-949;7349
80;-949;-4167;-1573;-949;7444
81;-949;-8113;-1806;-949;7535
82;-949;-4740;-1831;-949;7631
83;-949;-4641;-1874;-949;7726
84;-949;-5132;-1671;-949;7824
85;-949;-7311;-1752;-949;7914
86;-949;-7311;-1794;-949;8002
87;-949;-6392;-1949;-949;8091
88;-949;-4641;-1745;-949;8179
89;-949;-12250;-1791;-949;8270
90;-949;-7150;-1646;-949;8356
91;-949;-6755;-1754;-949;8449
92;-949;-7864;-1878;-949;8541
93;-949;-9888;-1865;-949;8639
94;-949;-9888;-2131;-949;8734
95;-949;-7738;-1657;-949;8821
96;-949;-4641;-1748;-949;8910
97;-949;-4449;-1662;-949;9004
98;-949;-8734;-1897;-949;9099
99;-949;-4641;-1724;-949;9192
100;-949;-7311;-1799;-949;9285
101;-949;-7565;-1813;-949;9375
102;-949;-6388;-1786;-949;9462
103;-949;-5032;-1682;-949;9551
104;-949;-5638;-1646;-949;9636
105;-949;-15646;-1772;-949;9722
106;-949;-7770;-1936;-949;9810
107;-949;-4715;-1767;-949;9898
108;-949;-4734;-1703;-949;9991
109;-949;-4650;-1733;-949;10086
110;-949;-8191;-1905;-949;10182
111;-949;-8165;-1887;-949;10279
112;-949;-5032;-1594;-949;10368
113;-949;-4641;-1636;-949;10460
114;-949;-5039;-1596;-949;10551
115;-949;-4641;-1626;-949;10640
116;-949;-4730;-1703;-949;10729
117;-949;-5728;-1845;-949;10820
118;-949;-4641;-1756;-949;10914
119;-949;-5767;-1764;-949;11007
120;-949;-10894;-1948;-949;11098
121;-949;-7311;-1788;-949;11184
122;-949;-7612;-1741;-949;11276
123;-949;-4641;-1723;-949;11371
124;-949;-11075;-2092;-949;11464
125;-949;-7150;-1883;-949;11549
126;-949;-4641;-1506;-949;11642
127;-949;-7946;-1809;-949;11736
128;-949;-4641;-1780;-949;11830
129;-949;-14986;-1816;-949;11923
130;-949;-9852;-1992;-949;12018
131;-949;-5039;-1717;-949;12104
132;-949;-4641;-1746;-949;12197
133;-949;-6508;-1730;-949;12291
134;-949;-4641;-1806;-949;12389
135;-949;-4167;-1732;-949;12483
136;-949;-7496;-1941;-949;12574
137;-949;-4641;-1778;-949;12669
138;-949;-5345;-1761;-949;12760
139;-949;-7591;-1831;-949;12853
140;-949;-13180;-1975;-949;12946
141;-949;-10272;-1767;-949;13032
142;-949;-4641;-1660;-949;13122
143;-949;-12818;-1908;-949;13213
144;-949;-6392;-1815;-949;13306
145;-949;-3539;-1727;-949;13400
146;-949;-19392;-2077;-949;13494
147;-949;-4167;-1665;-949;13586
148;-949;-4641;-1816;-949;13681
149;-949;-6560;-1699;-949;13774
150;-949;-4641;-1827;-949;13869
151;-949;-4167;-1642;-949;13961
152;-949;-8734;-1709;-949;14045
153;-949;-8080;-1683;-949;14134
154;-949;-7759;-1801;-949;14223
155;-949;-4641;-1672;-949;14315
156;-949;-7311;-1704;-949;14410
157;-949;-4996;-1531;-949;14500
158;-949;-4641;-1743;-949;14596
159;-949;-19195;-2008;-949;14688
160;-949;-14060;-1767;-949;14779
161;-949;-13258;-2106;-949;14870
162;-949;-4169;-1662;-949;14962
163;-949;-4956;-1682;-949;15053
164;-949;-4641;-1614;-949;15142
165;-949;-5032;-1655;-949;15229
166;-949;-9895;-1793;-949;15321
167;-949;-7739;-1750;-949;15413
168;-949;-9430;-1706;-949;15502
169;-949;-6082;-1786;-949;15592
170;-949;-11654;-2154;-949;15683
171;-949;-8734;-1877;-949;15779
172;-949;-7946;-1735;-949;15869
173;-949;-15502;-2073;-949;15960
174;-949;-4329;-1844;-949;16053
175;-949;-6911;-2076;-949;16146
176;-949;-6756;-1714;-949;16235
177;-949;-4641;-1681;-949;16326
178;-949;-11941;-1916;-949;16420
179;-949;-4641;-1627;-949;16506
180;-949;-12760;-1986;-949;16603
181;-949;-6288;-1692;-949;16693
182;-949;-11239;-1991;-949;16788
183;-949;-4167;-1604;-949;16879
184;-949;-7150;-1820;-949;16975
185;-949;-19239;-1839;-949;17070
186;-949;-6755;-1645;-949;17161
187;-949;-4641;-1757;-949;17256
188;-949;-8734;-1788;-949;17347
189;-949;-8359;-1756;-949;17443
190;-949;-9471;-1644;-949;17534
191;-949;-11036;-1776;-949;17623
192;-949;-6478;-1782;-949;17719
193;-949;-9888;-1702;-949;17809
194;-949;-4167;-1776;-949;17900
195;-949;-14291;-1932;-949;17993
196;-949;-7565;-1694;-949;18084
197;-949;-8432;-1728;-949;18178
198;-949;-5638;-1765;-949;18269
199;-949;-11239;-1945;-949;18364
200;-949;-7376;-1900;-949;18455
201;-949;-7360;-1843;-949;18545
202;-949;-11075;-1986;-949;18634
203;-949;-4167;-1792;-949;18731
204;-949;-5345;-1693;-949;18824
205;-949;-7774;-1743;-949;18914
206;-949;-11078;-2062;-949;19009
207;-949;-6755;-1880;-949;19102
208;-949;-6447;-1748;-949;19191
209;-949;-4641;-1717;-949;19283
210;-949;-7292;-1661;-949;19377
211;-949;-4641;-1660;-949;19471
212;-949;-7674;-1615;-949;19566
213;-949;-6007;-1688;-949;19660
214;-949;-9888;-1784;-949;19751
215;-949;-7958;-1755;-949;19842
216;-949;-5848;-1685;-949;19934
217;-949;-4641;-1619;-949;20022
218;-949;-14165;-2355;-949;20116
219;-949;-7935;-1737;-949;20204
220;-949;-9084;-1831;-949;20296
221;-949;-5638;-1829;-949;20388
222;-949;-7946;-1667;-949;20473
223;-949;-6562;-1725;-949;20570
224;-949;-9508;-1774;-949;20665
225;-949;-8654;-1753;-949;20757
226;-949;-4641;-1851;-949;20847
227;-949;-4641;-1675;-949;20942
228;-949;-3431;-1581;-949;21023
229;-949;-9420;-1911;-949;21114
230;-949;-9888;-1764;-949;21211
231;-949;-8049;-1815;-949;21306
232;-949;-7738;-1758;-949;21391
233;-949;-4641;-1708;-949;21484
234;-949;-23631;-1920;-949;21576
235;-949;-13648;-2210;-949;21669
236;-949;-7449;-1701;-949;21765
237;-949;-3539;-1578;-949;21855
238;-949;-9888;-1782;-949;21944
239;-949;-12732;-2078;-949;22037
240;-949;-7842;-1779;-949;22129
241;-949;-6755;-1812;-949;22223
242;-949;-4484;-1688;-949;22310
243;-949;-9557;-1831;-949;22403
244;-949;-7982;-1727;-949;22494
245;-949;-7982;-1715;-949;22585
246;-949;-10465;-1662;-949;22674
247;-949;-4641;-1688;-949;22765
248;-949;-6613;-1893;-949;22860
249;-949;-9749;-1718;-949;22947
250;-949;-7946;-1891;-949;23034
251;-949;-11399;-1891;-949;23127
252;-949;-8115;-1705;-949;23220
253;-949;-23631;-1982;-949;23308
254;-949;-4167;-1824;-949;23399
255;-949;-4641;-1756;-949;23486
256;-949;-9361;-1938;-949;23581
257;-949;-7399;-1734;-949;23671
258;-949;-6756;-1831;-949;23768
259;-949;-8470;-1846;-949;23860
260;-949;-7794;-1783;-949;23953
261;-949;-7311;-1901;-949;24039
262;-949;-5028;-1785;-949;24135
263;-949;-7912;-1817;-949;24232
264;-949;-4734;-1809;-949;24322
265;-949;-11075;-1847;-949;24413
266;-949;-5039;-1656;-949;24503
267;-949;-11075;-2014;-949;24596
268;-949;-7946;-1813;-949;24688
269;-949;-4167;-1761;-949;24776
270;-949;-4641;-1817;-949;24869
271;-949;-7946;-1949;-949;24958
272;-949;-4562;-1717;-949;25052
273;-949;-7150;-1827;-949;25145
