Iterations;Overall best;Worst;Average;Best
0;-2.90537e+06;-3.657e+06;-3.33544e+06;-2.90537e+06
1;-2.81476e+06;-3.69991e+06;-3.25076e+06;-2.81476e+06
2;-2.81476e+06;-3.52114e+06;-3.15864e+06;-2.91328e+06
3;-2.71538e+06;-3.51163e+06;-3.12909e+06;-2.71538e+06
4;-2.71538e+06;-3.40066e+06;-3.07736e+06;-2.80061e+06
5;-2.71538e+06;-3.3262e+06;-3.02812e+06;-2.74995e+06
6;-2.71538e+06;-3.26368e+06;-2.97422e+06;-2.74204e+06
7;-2.66708e+06;-3.38655e+06;-2.89776e+06;-2.66708e+06
8;-2.53244e+06;-3.12648e+06;-2.84067e+06;-2.53244e+06
9;-2.53244e+06;-3.04551e+06;-2.79463e+06;-2.59622e+06
10;-2.53244e+06;-3.14733e+06;-2.76426e+06;-2.57988e+06
11;-2.53244e+06;-3.00073e+06;-2.73985e+06;-2.54441e+06
12;-2.53244e+06;-3.08856e+06;-2.73021e+06;-2.53565e+06
13;-2.5017e+06;-2.97322e+06;-2.7005e+06;-2.5017e+06
14;-2.44604e+06;-3.05848e+06;-2.67438e+06;-2.44604e+06
15;-2.44604e+06;-3.03771e+06;-2.65812e+06;-2.45799e+06
16;-2.44604e+06;-2.83649e+06;-2.64331e+06;-2.48095e+06
17;-2.44604e+06;-2.89451e+06;-2.62069e+06;-2.46786e+06
18;-2.44058e+06;-2.81864e+06;-2.62136e+06;-2.44058e+06
19;-2.37574e+06;-2.84308e+06;-2.6223e+06;-2.37574e+06
20;-2.37574e+06;-2.87243e+06;-2.59888e+06;-2.37574e+06
21;-2.3389e+06;-2.78851e+06;-2.56883e+06;-2.3389e+06
22;-2.3389e+06;-2.79001e+06;-2.55162e+06;-2.41052e+06
23;-2.3389e+06;-2.69531e+06;-2.52627e+06;-2.41052e+06
24;-2.3389e+06;-2.69103e+06;-2.50703e+06;-2.36898e+06
25;-2.3389e+06;-2.70953e+06;-2.49658e+06;-2.38258e+06
26;-2.3389e+06;-2.75588e+06;-2.48564e+06;-2.34667e+06
27;-2.3389e+06;-2.61821e+06;-2.47605e+06;-2.37083e+06
28;-2.3389e+06;-2.63131e+06;-2.46456e+06;-2.36014e+06
29;-2.32681e+06;-2.64756e+06;-2.44525e+06;-2.32681e+06
30;-2.32681e+06;-2.65087e+06;-2.43385e+06;-2.36264e+06
31;-2.32681e+06;-2.58405e+06;-2.40971e+06;-2.32706e+06
32;-2.32658e+06;-2.52769e+06;-2.40215e+06;-2.32658e+06
33;-2.29067e+06;-2.49488e+06;-2.38986e+06;-2.29067e+06
34;-2.25721e+06;-2.46505e+06;-2.36864e+06;-2.25721e+06
35;-2.23708e+06;-2.52347e+06;-2.34918e+06;-2.23708e+06
36;-2.23258e+06;-2.52856e+06;-2.33607e+06;-2.23258e+06
37;-2.16966e+06;-2.4517e+06;-2.3008e+06;-2.16966e+06
38;-2.14621e+06;-2.39754e+06;-2.27648e+06;-2.14621e+06
39;-2.14607e+06;-2.38536e+06;-2.25698e+06;-2.14607e+06
40;-2.13924e+06;-2.32794e+06;-2.23871e+06;-2.13924e+06
41;-2.13924e+06;-2.35795e+06;-2.22646e+06;-2.15026e+06
42;-2.13719e+06;-2.32547e+06;-2.20636e+06;-2.13719e+06
43;-2.1102e+06;-2.29134e+06;-2.18094e+06;-2.1102e+06
44;-2.06937e+06;-2.28425e+06;-2.1633e+06;-2.06937e+06
45;-2.03015e+06;-2.21707e+06;-2.15324e+06;-2.03015e+06
46;-2.03015e+06;-2.23052e+06;-2.14473e+06;-2.06493e+06
47;-2.03015e+06;-2.22772e+06;-2.13651e+06;-2.05436e+06
48;-2.03015e+06;-2.19094e+06;-2.12099e+06;-2.05436e+06
49;-2.03015e+06;-2.21367e+06;-2.12096e+06;-2.05046e+06
50;-2.03015e+06;-2.21637e+06;-2.10575e+06;-2.03674e+06
51;-2.02379e+06;-2.19365e+06;-2.09471e+06;-2.02379e+06
52;-2.02379e+06;-2.22067e+06;-2.08933e+06;-2.03211e+06
53;-1.99957e+06;-2.17751e+06;-2.07602e+06;-1.99957e+06
54;-1.99207e+06;-2.22208e+06;-2.06928e+06;-1.99207e+06
55;-1.98985e+06;-2.17322e+06;-2.05942e+06;-1.98985e+06
56;-1.98985e+06;-2.1456e+06;-2.05221e+06;-1.99132e+06
57;-1.97352e+06;-2.16078e+06;-2.0397e+06;-1.97352e+06
58;-1.97212e+06;-2.10911e+06;-2.02814e+06;-1.97212e+06
59;-1.92628e+06;-2.13167e+06;-2.01637e+06;-1.92628e+06
60;-1.92601e+06;-2.13806e+06;-2.00526e+06;-1.92601e+06
61;-1.92264e+06;-2.07351e+06;-1.98958e+06;-1.92264e+06
62;-1.91144e+06;-2.04863e+06;-1.97604e+06;-1.91144e+06
63;-1.90061e+06;-2.04617e+06;-1.96555e+06;-1.90061e+06
64;-1.88658e+06;-2.06215e+06;-1.95655e+06;-1.88658e+06
65;-1.88658e+06;-2.04972e+06;-1.94884e+06;-1.89507e+06
