Iterations;Overall best;Worst;Average;Best;FFE
0;-3315;-30243;-8449;-3315;100
1;-3239;-14118;-5383;-3239;194
2;-3084;-18858;-4948;-3084;282
3;-2620;-13839;-4554;-2620;378
4;-2508;-14069;-4181;-2508;473
5;-2112;-6949;-3816;-2112;568
6;-1817;-7654;-3767;-1817;662
7;-1400;-9601;-3642;-1400;754
8;-1058;-6287;-3005;-1058;846
9;-691;-10695;-2723;-691;939
10;-691;-16292;-3053;-990;1031
11;-691;-9947;-2611;-691;1122
12;-691;-8082;-1995;-691;1214
13;-491;-7109;-1713;-491;1303
14;-491;-6784;-1652;-491;1394
15;-491;-7008;-1734;-491;1482
16;-491;-5720;-1591;-491;1574
17;-491;-9789;-1768;-491;1665
18;-491;-11189;-1542;-491;1759
19;-491;-6596;-1644;-491;1853
20;-491;-4582;-1579;-491;1941
21;-491;-8995;-1690;-491;2032
22;-491;-7871;-1673;-491;2126
23;-491;-11511;-1793;-491;2217
24;-491;-4582;-1550;-491;2306
25;-491;-6411;-1556;-491;2392
26;-491;-6411;-1569;-491;2476
27;-491;-5208;-1468;-491;2566
28;-491;-6411;-1874;-491;2654
29;-491;-6411;-1741;-491;2746
30;-491;-6411;-1466;-491;2839
31;-491;-6411;-1597;-491;2927
32;-491;-11203;-1829;-491;3020
33;-491;-6508;-1744;-491;3113
34;-491;-6411;-1382;-491;3195
35;-491;-6411;-1523;-491;3281
36;-491;-6411;-1480;-491;3372
37;-491;-6411;-1904;-491;3469
38;-491;-6411;-1787;-491;3563
39;-491;-6411;-1616;-491;3656
40;-491;-11251;-1870;-491;3748
41;-491;-5583;-1833;-491;3845
42;-491;-6596;-1625;-491;3939
43;-491;-6411;-1604;-491;4025
44;-491;-6596;-1686;-491;4118
45;-491;-5208;-1625;-491;4211
46;-491;-9789;-1660;-491;4298
47;-491;-6411;-1679;-491;4393
48;-491;-6411;-1689;-491;4484
49;-491;-9789;-1658;-491;4578
50;-491;-6411;-1729;-491;4671
51;-491;-8446;-1633;-491;4761
52;-491;-6411;-1703;-491;4854
53;-491;-5208;-1473;-491;4943
54;-491;-8926;-1657;-491;5033
55;-491;-6302;-1622;-491;5122
