Iterations;Overall best;Worst;Average;Best;FFE
0;-29975;-116388;-61842;-29975;1000
1;-24050;-86367;-38530;-24050;1988
2;-20787;-59135;-31290;-20787;2980
3;-17696;-56172;-26640;-17696;3964
4;-15597;-48853;-24123;-15597;4953
5;-14644;-52271;-21994;-14644;5930
6;-12917;-49243;-20868;-12917;6916
7;-12784;-52793;-19413;-12784;7904
8;-11265;-39107;-18178;-11265;8891
9;-10339;-43076;-16924;-10339;9869
10;-9091;-38472;-16140;-9091;10851
11;-8001;-35180;-15583;-8001;11839
12;-7892;-38024;-14507;-7892;12826
13;-7689;-38570;-13963;-7689;13811
14;-6772;-35838;-13697;-6772;14804
15;-6525;-34371;-13357;-6525;15788
16;-6000;-41333;-12543;-6000;16773
17;-5408;-33761;-12488;-5408;17762
18;-5286;-32547;-12086;-5286;18750
19;-5136;-36728;-11515;-5136;19738
20;-4857;-32522;-10890;-4857;20722
21;-4641;-34917;-10488;-4641;21700
22;-4397;-35824;-10539;-4397;22690
23;-4156;-32486;-10365;-4156;23678
24;-4156;-41102;-10540;-4156;24663
25;-3975;-41975;-10225;-3975;25644
26;-3975;-30256;-10393;-4090;26636
27;-3791;-36520;-10222;-3791;27623
28;-3791;-32774;-10305;-3823;28604
29;-3747;-26693;-9854;-3747;29587
30;-3660;-38887;-9579;-3660;30569
31;-3507;-38345;-9638;-3507;31555
32;-3356;-36042;-9875;-3356;32542
33;-3318;-31784;-9728;-3318;33527
34;-2956;-38844;-9728;-2956;34514
35;-2956;-33195;-9426;-2956;35501
36;-2931;-27335;-8976;-2931;36489
37;-2931;-29704;-9081;-2931;37472
38;-2891;-37822;-8866;-2891;38458
39;-2891;-29207;-8548;-2891;39442
40;-2799;-33957;-8833;-2799;40428
41;-2251;-37336;-8664;-2251;41416
42;-2251;-31361;-8477;-2251;42398
43;-2251;-39859;-8640;-2251;43385
44;-2251;-38131;-8300;-2251;44372
45;-2137;-40951;-8246;-2137;45357
46;-2012;-28166;-7773;-2012;46339
47;-2012;-32025;-7853;-2012;47331
48;-1878;-32190;-7605;-1878;48320
49;-1863;-37611;-7653;-1863;49312
50;-1765;-36305;-7857;-1765;50301
51;-1765;-30547;-7753;-1765;51284
52;-1725;-30067;-7776;-1725;52273
53;-1617;-36966;-7634;-1617;53260
54;-1565;-36330;-7392;-1565;54251
55;-1452;-31906;-7616;-1452;55236
56;-1452;-47438;-7108;-1452;56223
57;-1305;-28739;-7272;-1305;57211
58;-1305;-29832;-7223;-1305;58193
59;-1218;-37710;-6992;-1218;59177
60;-1218;-26801;-7100;-1218;60167
61;-1099;-30123;-7264;-1099;61152
62;-1099;-33880;-7128;-1099;62139
63;-1099;-29685;-7068;-1099;63123
64;-1099;-54071;-7001;-1099;64103
65;-1099;-29635;-7009;-1099;65080
66;-860;-25663;-6725;-860;66065
67;-760;-25462;-6627;-760;67053
68;-593;-41868;-6664;-593;68045
69;-554;-25843;-6360;-554;69032
70;-221;-30197;-6312;-221;70019
71;-221;-30330;-6439;-221;71000
72;-221;-32342;-6342;-221;71990
73;-221;-30546;-6603;-221;72970
74;-221;-29424;-6187;-221;73954
75;-221;-33790;-6052;-221;74939
76;-189;-31925;-6115;-189;75927
77;-189;-35696;-5908;-189;76913
78;-189;-29212;-5934;-189;77903
79;-189;-30907;-6034;-189;78890
80;-189;-44909;-5764;-189;79874
81;-140;-28280;-5817;-140;80857
82;-140;-31188;-6096;-140;81846
83;-140;-30586;-5943;-140;82836
84;-140;-35091;-5893;-140;83814
85;-140;-33061;-5835;-140;84804
86;-114;-27907;-5690;-114;85776
87;-114;-27814;-5745;-114;86765
88;-114;-41859;-6148;-114;87751
89;-63;-33398;-6099;-63;88743
90;-63;-32447;-5813;-63;89733
91;-63;-38625;-5927;-63;90715
92;-37;-29410;-6087;-37;91703
93;-37;-28977;-5715;-37;92689
94;-37;-25147;-5679;-37;93671
95;-37;-33845;-6051;-37;94654
96;-37;-26589;-5493;-37;95633
97;-37;-26440;-5591;-37;96619
98;-37;-26137;-5802;-37;97610
99;-37;-33360;-5734;-37;98597
100;-37;-26722;-5595;-37;99579
101;-37;-40002;-5667;-37;100564
102;-20;-29881;-5619;-20;101553
103;-20;-34924;-5822;-20;102545
104;22;-28474;-5637;22;103532
105;22;-27431;-5878;22;104513
106;22;-47439;-5927;22;105494
107;39;-41197;-5740;39;106477
108;39;-27215;-5730;39;107461
109;69;-33066;-5632;69;108447
110;69;-36667;-5478;69;109426
111;69;-30243;-5491;69;110409
112;69;-30048;-5775;69;111391
