Iterations;Overall best;Worst;Average;Best;FFE
0;-38559;-133557;-67711;-38559;1000
1;-29985;-89660;-46149;-29985;1988
2;-24725;-68760;-38885;-24725;2972
3;-22174;-65877;-34067;-22174;3954
4;-20173;-57099;-30079;-20173;4944
5;-19411;-59291;-27599;-19411;5933
6;-17924;-54473;-25779;-17924;6918
7;-16622;-50124;-24019;-16622;7903
8;-14567;-56590;-22677;-14567;8886
9;-14494;-54704;-21564;-14494;9868
10;-12111;-44006;-20281;-12111;10854
11;-12111;-38620;-19452;-12111;11836
12;-11667;-42980;-19041;-11667;12823
13;-10978;-45113;-18299;-10978;13810
14;-10201;-42407;-17490;-10201;14795
15;-10201;-46816;-16804;-10201;15784
16;-10201;-39724;-16341;-10201;16768
17;-10066;-38375;-16061;-10066;17753
18;-9258;-47306;-15799;-9258;18738
19;-9258;-35190;-15385;-9418;19725
20;-9258;-59278;-15678;-9414;20712
21;-9029;-41043;-15467;-9029;21695
22;-8914;-36610;-14759;-8914;22679
23;-8837;-38743;-15073;-8837;23663
24;-8794;-39123;-14753;-8794;24643
25;-8429;-36966;-14451;-8429;25621
26;-8429;-40745;-14309;-8429;26604
27;-8347;-32715;-14176;-8347;27596
28;-8065;-36885;-14055;-8065;28582
29;-7920;-38446;-13748;-7920;29569
30;-7920;-42162;-13809;-7920;30553
31;-7920;-40546;-13587;-7948;31543
32;-7737;-38891;-13766;-7737;32530
33;-7652;-35480;-13451;-7652;33521
34;-7559;-39030;-13697;-7559;34509
35;-7450;-39928;-13483;-7450;35494
36;-7285;-39606;-13347;-7285;36478
37;-7051;-50863;-13170;-7051;37463
38;-7051;-47512;-13037;-7051;38447
39;-6920;-36218;-12976;-6920;39441
40;-6779;-36963;-12973;-6779;40426
41;-6720;-41272;-12697;-6720;41416
42;-6650;-38405;-12856;-6650;42396
43;-6572;-34559;-12530;-6572;43385
44;-6546;-46228;-12554;-6546;44375
45;-6361;-39798;-12439;-6361;45359
46;-6337;-42550;-12707;-6337;46352
47;-6337;-36867;-12098;-6337;47336
48;-6337;-41548;-12262;-6337;48319
49;-6172;-39956;-12255;-6172;49308
50;-6167;-36162;-12171;-6167;50295
51;-6167;-41111;-12457;-6167;51279
52;-6106;-32395;-11883;-6106;52265
53;-5993;-34921;-12111;-5993;53252
54;-5939;-37262;-11831;-5939;54241
55;-5939;-41326;-11862;-5939;55228
56;-5883;-35747;-11747;-5883;56215
57;-5883;-39899;-11593;-5883;57203
58;-5802;-38486;-11821;-5802;58189
59;-5802;-35234;-11738;-5827;59168
60;-5741;-35214;-11769;-5741;60160
61;-5658;-40743;-11845;-5658;61146
62;-5658;-42135;-11513;-5658;62132
63;-5559;-45636;-11843;-5559;63121
64;-5333;-36921;-11900;-5333;64108
65;-5294;-43021;-11709;-5294;65085
66;-5289;-38276;-11554;-5289;66071
67;-5195;-39000;-11305;-5195;67056
68;-5157;-42709;-11246;-5157;68038
69;-5157;-35651;-11051;-5157;69022
70;-5129;-37157;-11189;-5129;70008
71;-5129;-33076;-11090;-5142;70998
72;-5129;-36939;-11329;-5157;71983
73;-5129;-30244;-10878;-5142;72971
74;-5129;-44155;-11080;-5142;73955
75;-5101;-35064;-10889;-5101;74939
76;-5101;-35441;-10966;-5101;75928
77;-5101;-43950;-11194;-5101;76914
78;-5087;-30331;-10924;-5087;77903
79;-5084;-35493;-10674;-5084;78892
80;-5067;-38857;-11288;-5067;79882
81;-5053;-33885;-10988;-5053;80867
82;-5053;-37552;-11002;-5053;81853
83;-5053;-36681;-11101;-5053;82840
84;-5053;-38313;-11033;-5053;83832
85;-5031;-38714;-10892;-5031;84818
86;-4972;-41718;-11191;-4972;85805
87;-4972;-31757;-10688;-4972;86794
88;-4972;-32370;-10510;-4972;87775
89;-4950;-41984;-10812;-4950;88767
90;-4950;-36624;-10739;-4950;89750
91;-4950;-33199;-10809;-4950;90742
92;-4950;-41171;-10799;-4950;91724
93;-4950;-30521;-10807;-4950;92701
94;-4950;-34514;-10746;-4950;93684
