Iterations;Overall best;Worst;Average;Best;FFE
0;-31270;-135038;-68841;-31270;1000
1;-29285;-93409;-45090;-29285;1975
2;-25192;-77796;-36474;-25192;2952
3;-24262;-58387;-32694;-24262;3942
4;-22613;-61711;-29941;-22613;4932
5;-19231;-58344;-28452;-19231;5923
6;-18819;-55326;-26861;-18819;6903
7;-17572;-53622;-25756;-17572;7885
8;-15621;-66386;-24140;-15621;8870
9;-15621;-50635;-23172;-15694;9853
10;-14711;-48606;-21969;-14711;10841
11;-13709;-44589;-20981;-13709;11827
12;-13234;-43872;-20368;-13234;12812
13;-13162;-44791;-19875;-13162;13799
14;-12901;-52163;-19596;-12901;14788
15;-12548;-50569;-18892;-12548;15771
16;-12211;-46172;-18576;-12211;16753
17;-12096;-41746;-18226;-12096;17734
18;-11419;-42843;-18202;-11419;18716
19;-10833;-43577;-17834;-10833;19704
20;-10684;-50426;-17500;-10684;20686
21;-9754;-47385;-17054;-9754;21674
22;-9754;-43808;-16596;-9925;22659
23;-9754;-38907;-16296;-9754;23646
24;-9622;-41412;-15867;-9622;24632
25;-9282;-38374;-15345;-9282;25619
26;-9151;-43351;-15424;-9151;26604
27;-9057;-38609;-15261;-9057;27587
28;-9057;-38217;-14903;-9058;28577
29;-8896;-42897;-15224;-8896;29570
30;-8680;-38816;-15066;-8680;30557
31;-8560;-42365;-14814;-8560;31535
32;-8560;-54315;-14382;-8560;32518
33;-8560;-42250;-14782;-8560;33506
34;-8530;-38548;-15017;-8530;34487
35;-8526;-37752;-14519;-8526;35469
36;-8227;-41193;-14296;-8227;36459
37;-8144;-37210;-14026;-8144;37444
38;-8086;-40364;-14209;-8086;38429
39;-7961;-44655;-14006;-7961;39416
40;-7905;-40263;-13815;-7905;40402
41;-7593;-43733;-13934;-7593;41393
42;-7593;-43965;-13707;-7593;42379
43;-7593;-36789;-13573;-7593;43364
44;-7204;-42280;-13761;-7204;44348
45;-7204;-46091;-13342;-7566;45330
46;-7204;-38167;-13178;-7488;46314
47;-7204;-34347;-13526;-7544;47303
48;-7173;-38088;-13428;-7173;48289
49;-7173;-41633;-13209;-7173;49268
50;-6996;-42326;-13157;-6996;50255
51;-6996;-37343;-13444;-7128;51241
52;-6970;-42047;-13391;-6970;52231
53;-6970;-36562;-13140;-6970;53224
54;-6830;-44514;-12779;-6830;54206
55;-6785;-34436;-12987;-6785;55189
56;-6785;-39599;-13203;-6785;56175
57;-6785;-33610;-13026;-6785;57165
58;-6656;-40565;-12825;-6656;58158
59;-6656;-32667;-12723;-6656;59143
60;-6634;-45223;-12629;-6634;60136
61;-6634;-38288;-12606;-6634;61123
62;-6634;-42683;-12517;-6634;62112
63;-6588;-44543;-12468;-6588;63098
64;-6588;-37495;-12673;-6588;64086
65;-6566;-39451;-12342;-6566;65066
66;-6552;-38010;-12556;-6552;66044
67;-6259;-38405;-12641;-6259;67024
68;-6259;-39139;-12238;-6259;68014
69;-6191;-36568;-12585;-6191;69003
70;-6191;-33368;-12575;-6259;69990
71;-6088;-36144;-12348;-6088;70983
72;-5899;-37126;-12573;-5899;71964
73;-5899;-44735;-12325;-5899;72951
74;-5899;-49430;-12278;-5899;73935
75;-5820;-35480;-11977;-5820;74924
76;-5820;-40965;-12042;-5820;75911
77;-5820;-42097;-11874;-5820;76895
78;-5766;-36680;-11757;-5766;77876
79;-5766;-46803;-11619;-5766;78865
80;-5687;-43126;-11590;-5687;79848
81;-5687;-35927;-11586;-5687;80836
82;-5687;-34634;-11684;-5687;81820
83;-5644;-46429;-11875;-5644;82806
84;-5644;-35590;-11783;-5644;83788
85;-5634;-39340;-11649;-5634;84770
86;-5621;-32050;-11456;-5621;85753
87;-5621;-36535;-12037;-5621;86742
88;-5621;-43706;-11660;-5621;87729
89;-5611;-35123;-11779;-5611;88713
90;-5552;-35190;-11695;-5552;89697
91;-5552;-37980;-11821;-5552;90687
92;-5552;-32217;-11944;-5552;91664
93;-5552;-41244;-11253;-5552;92651
