Iterations;Overall best;Worst;Average;Best;FFE
0;78185;19246;53329;78185;1000
1;81377;32556;65687;81377;1985
2;84887;41065;71652;84887;2968
3;88855;51585;75777;88855;3953
4;90021;57050;79065;90021;4943
5;90935;53345;81802;90935;5933
6;93228;60297;83256;93228;6922
7;94503;56136;84465;94503;7912
8;96621;52491;86014;96621;8899
9;97145;55617;87732;97145;9882
10;99058;56779;88465;99058;10870
11;99304;61825;89834;99304;11857
12;101043;63963;90421;101043;12845
13;101370;65712;91817;101370;13828
14;101423;64499;91941;101423;14817
15;103649;68092;92620;103649;15798
16;104145;66604;93014;104145;16786
17;104454;63333;93843;104454;17763
18;104782;68816;94537;104782;18743
19;105300;63368;95700;105300;19736
20;105300;63127;96680;105188;20720
21;105781;60147;96409;105781;21706
22;106383;66736;96566;106383;22692
23;106846;68180;96747;106846;23679
24;106846;67235;96874;106846;24668
25;107308;57441;97114;107308;25655
26;107562;70953;97744;107562;26642
27;107824;63674;98374;107824;27624
28;107998;65903;98532;107998;28611
29;108272;65617;98853;108272;29600
30;108439;68774;98903;108439;30587
31;108585;67427;99034;108585;31580
32;108585;67226;98986;108585;32571
33;109021;69783;98859;109021;33561
34;109162;66973;99202;109162;34542
35;109162;64586;99789;109162;35527
36;109281;68749;100152;109281;36509
37;109447;67185;100231;109447;37496
38;109558;70256;100111;109558;38478
39;109582;69604;100257;109582;39463
40;109697;65530;100150;109697;40450
41;109773;69185;100353;109773;41437
42;109882;64482;100701;109882;42430
43;109930;69944;100695;109930;43416
44;109995;64967;100514;109995;44412
45;109995;65849;100866;109930;45401
46;110038;73207;100723;110038;46386
47;110257;67852;101016;110257;47380
48;110622;59178;100694;110622;48372
49;110622;66479;101194;110622;49359
50;110693;65707;100950;110693;50343
51;110815;69190;101770;110815;51327
52;110888;70909;101945;110888;52303
53;110888;65381;101600;110888;53285
54;110901;70828;101826;110901;54271
55;111067;69373;101666;111067;55262
56;111067;67636;101849;111067;56251
57;111067;69122;101598;111067;57227
58;111286;68750;101731;111286;58216
59;111612;70636;101889;111612;59200
60;111796;70858;101566;111796;60188
61;111998;71094;101884;111998;61175
62;111998;70103;101581;111893;62166
63;111998;67619;102088;111961;63153
64;111998;73441;102262;111961;64141
65;111998;67716;102042;111998;65128
66;112079;67029;102149;112079;66114
67;112087;60730;101824;112087;67102
68;112087;68432;101995;112087;68095
69;112087;61990;102580;112087;69078
70;112087;64788;102591;112087;70068
71;112147;72556;102332;112147;71054
72;112156;62703;102697;112156;72043
73;112156;70784;102550;112156;73035
74;112156;63241;102286;112156;74025
75;112443;71191;102827;112443;75013
76;112443;64627;102778;112443;75997
77;112443;72591;102684;112443;76977
78;112443;74277;102762;112443;77955
79;112508;69216;102821;112508;78949
80;112508;79300;103548;112508;79931
