Iterations;Overall best;Worst;Average;Best;FFE
0;12278;-25832;-3520;12278;100
1;19905;-11422;4089;19905;200
2;19905;-10540;6926;17340;295
3;19919;-10259;7659;19919;395
4;22229;-13278;10501;22229;494
5;23578;-4904;13720;23578;593
6;24632;-4173;15132;24632;690
7;24789;2475;16440;24789;787
8;27453;2827;17305;27453;887
9;27453;1984;16830;25628;982
10;27937;6343;18197;27937;1082
11;29657;-1740;18258;29657;1181
12;29657;1705;19903;29481;1277
13;31896;5151;21189;31896;1377
14;31896;3189;21997;29532;1476
15;31896;2896;20622;29236;1575
16;31896;6468;20899;30044;1673
17;31896;-3657;21673;31004;1773
18;32834;4799;21126;32834;1871
19;36351;7283;21558;36351;1969
20;36428;2503;23057;36428;2069
21;36428;6100;22113;33412;2168
22;36428;8429;23786;34736;2265
23;36428;8378;23088;33811;2365
24;36428;1613;23228;32621;2463
25;36428;10267;24836;31708;2563
26;36428;6237;23216;32191;2662
27;36428;2920;24059;33473;2757
28;36428;10153;24399;33732;2855
29;36428;8625;24568;33963;2953
30;36428;9453;24056;33114;3053
31;36428;5923;24316;33008;3152
32;36428;9055;24567;32715;3248
33;36428;14843;25399;33348;3348
34;36428;12740;25070;33450;3445
35;36428;7298;25493;33674;3542
36;36428;6640;25881;33862;3641
37;36428;7401;25112;35503;3741
38;36428;-3299;25170;33387;3841
39;36428;4083;24081;33372;3941
40;36428;11864;25380;33485;4040
41;36428;-1751;23597;33348;4140
42;36428;8289;23967;35083;4239
43;36428;5249;24501;31632;4336
44;36428;6281;24154;32668;4434
45;36428;4062;22379;33442;4533
46;36428;-1615;22452;34732;4632
47;36428;6904;22851;33672;4731
48;36428;4582;21982;32635;4831
49;36428;2501;21156;32269;4931
50;36428;-779;19534;30777;5030
51;36428;181;20479;31517;5123
52;36428;6651;21196;30901;5223
53;36428;4186;20231;31448;5323
54;36428;5528;20295;29573;5421
55;36428;3684;20636;29329;5521
56;36428;2000;19349;28708;5620
57;36428;5043;19439;29163;5720
58;36428;-519;18429;29996;5819
59;36428;-1644;18704;29358;5919
60;36428;1940;19038;28596;6018
61;36428;-170;18573;31550;6118
62;36428;-2651;18818;29764;6216
63;36428;-4691;19796;32036;6313
64;36428;-989;19738;31968;6413
65;36428;1522;19265;29345;6512
66;36428;-6987;18060;29644;6611
67;36428;3213;19236;29735;6711
68;36428;9517;20978;29717;6810
69;36428;3522;20611;29063;6910
70;36428;-630;20205;29786;7009
71;36428;917;20379;30986;7108
72;36428;2894;20709;31292;7207
73;36428;6035;22136;32002;7304
74;36428;5833;23058;31878;7403
75;36428;-1534;21835;34228;7503
76;36428;6299;22927;33310;7603
77;36428;12169;24277;34068;7703
78;36428;9862;23276;33065;7802
79;36428;2332;23773;33594;7901
80;36428;11518;23542;32121;8001
81;36428;6183;23996;34634;8101
82;36428;5878;22495;32146;8201
83;36428;4991;23892;33735;8301
84;36428;-77;23956;32947;8398
85;36428;2859;23460;32809;8498
86;36428;6363;23993;34505;8597
87;36428;8410;24355;33262;8696
88;36428;5260;23651;34947;8794
89;36428;11278;24474;33965;8893
90;36428;11732;24916;32415;8992
91;36428;5346;24614;33689;9092
92;36428;12211;25703;34374;9188
93;36428;7971;26508;34728;9287
94;36428;12277;25623;35493;9387
95;36428;7590;25314;32067;9485
96;36428;8517;24380;31736;9584
97;36428;-1515;23028;32791;9684
98;36428;2104;23656;34952;9784
99;36428;9317;24668;34944;9883
