Iterations;Overall best;Worst;Average;Best;FFE
0;12278;-25832;-3520;12278;100
1;18749;-23220;-2811;18749;200
2;18749;-24353;-2857;13816;300
3;18749;-23173;-1550;18358;400
4;18749;-26972;-1936;15739;500
5;18749;-22614;-1904;17146;600
6;18749;-23656;-1431;18312;700
7;18749;-29046;-1083;15786;800
8;18749;-28547;-2130;13594;900
9;18939;-32145;-2980;18939;1000
10;18939;-25252;-4374;10546;1100
11;18939;-32343;-3222;15799;1200
12;18939;-26539;-2405;14835;1300
13;18939;-23119;-2045;16096;1400
14;19810;-20897;-660;19810;1500
15;19810;-29205;-2166;14931;1600
16;19810;-33622;-2467;19640;1700
17;19810;-21763;-1689;16780;1800
18;19810;-33816;-3759;12496;1900
19;19810;-24734;-1878;16464;2000
20;19810;-27665;-1092;17842;2100
21;19810;-21493;-2514;14533;2200
22;19810;-22825;-1267;15247;2300
23;19810;-22856;-2505;15648;2400
24;19810;-27322;-2050;11946;2500
25;19810;-24718;-3255;17333;2600
26;20027;-22039;-2875;20027;2700
27;20027;-33733;-2609;13207;2800
28;20027;-21461;-691;17001;2900
29;23803;-28688;-2665;23803;3000
30;23803;-19559;-960;19416;3100
31;23803;-19656;-2594;14109;3200
32;23803;-24045;-2704;12469;3300
33;23803;-22094;-2619;19430;3400
34;23803;-25696;-2547;15135;3500
35;23803;-25404;-1057;16583;3600
36;23803;-24660;-966;19640;3700
37;23803;-22859;-1289;19229;3800
38;23803;-28774;-2226;15827;3900
39;23803;-25760;-3371;12954;4000
40;23803;-21945;-1458;17922;4100
41;23803;-21084;-1163;16473;4200
42;23803;-27305;-1609;17185;4300
43;23803;-22630;-641;18354;4400
44;23803;-19904;-1858;12082;4500
45;23803;-28921;-3653;15075;4600
46;23803;-23369;-1810;17234;4700
47;23803;-32059;-3422;17335;4800
48;23803;-29147;-2611;15734;4900
49;23803;-23347;-2415;14541;5000
50;23803;-25492;-1734;17235;5100
51;23803;-29790;-3077;12108;5200
52;23803;-29757;-1640;17458;5300
53;23803;-21663;-1796;14408;5400
54;23803;-26678;-2955;10156;5500
55;23803;-27117;-3830;15758;5600
56;23803;-30006;-1262;20611;5700
57;23803;-22750;-2494;17507;5800
58;23803;-23863;-442;15191;5900
59;23803;-28180;-3513;17720;6000
60;23803;-20801;-1886;18696;6100
61;23803;-34281;-2510;15842;6200
62;23803;-19404;-1317;13277;6300
63;23803;-26600;-2669;19482;6400
64;23803;-21229;-3133;13603;6500
65;23803;-18809;-1779;14283;6600
66;23803;-24274;-1611;19090;6700
67;23803;-35985;-3148;18079;6800
68;23803;-35362;-3587;13334;6900
69;23803;-24253;-2344;15245;7000
70;23803;-30545;-2930;20590;7100
71;23803;-21554;-2707;13075;7200
72;23803;-29799;-3473;12708;7300
73;23803;-29446;-2424;15697;7400
74;23803;-21734;-1308;15988;7500
75;23803;-22711;-1656;14815;7600
76;23803;-20920;-2109;13610;7700
77;23803;-24043;-2653;17399;7800
78;23803;-24845;-1325;16166;7900
79;23803;-24320;-2182;13471;8000
80;23803;-20769;-1672;14615;8100
81;23803;-21927;-1108;20773;8200
82;23803;-28222;-2685;15500;8300
83;23803;-20720;-3012;16729;8400
84;23803;-32406;-2487;19545;8500
85;23803;-26618;-2207;17012;8600
86;23803;-30407;-2501;20919;8700
87;23803;-26074;-2907;15655;8800
88;23803;-25455;-2506;14196;8900
89;23803;-24697;-1607;12574;9000
90;23803;-22662;-2447;14952;9100
91;23803;-35373;-2444;15210;9200
92;23803;-30529;-2364;14641;9300
93;23803;-23176;-2577;13860;9400
94;23803;-20616;-2006;14784;9500
95;23803;-23853;-2208;15225;9600
96;23803;-20075;-1321;16764;9700
97;23803;-21383;-1428;17782;9800
98;23803;-21950;-196;16542;9900
99;23803;-18748;-2062;19175;10000
