Iterations;Overall best;Worst;Average;Best;FFE
0;19952;-27596;-3145;19952;1000
1;26618;-14244;9846;26618;1990
2;29897;-12166;16201;29897;2972
3;31142;-8061;19866;31142;3959
4;35413;-3329;23251;35413;4944
5;37214;995;25978;37214;5929
6;39161;7090;28279;39161;6917
7;40941;3760;29200;40941;7902
8;41438;6075;31065;41438;8889
9;42581;6406;32462;42581;9873
10;42581;7177;33265;42347;10857
11;43476;13437;34305;43476;11841
12;45814;13818;35196;45814;12824
13;45943;11096;36245;45943;13808
14;46587;2567;37026;46587;14791
15;47976;16018;37676;47976;15774
16;47976;7334;38716;47976;16756
17;48686;4110;39045;48686;17739
18;49118;14322;40057;49118;18720
19;49388;13401;40563;49388;19704
20;49516;16914;40965;49516;20680
21;49516;12071;41038;49516;21669
22;49579;13373;41237;49579;22654
23;49660;17393;41042;49660;23639
24;50532;15453;41152;50532;24628
25;50916;19552;41449;50916;25616
26;51601;3685;42154;51601;26604
27;51821;20783;42422;51821;27597
28;51821;13132;43191;51821;28575
29;52450;14696;43429;52450;29563
30;52597;20322;44087;52597;30550
31;52720;20237;44274;52720;31539
32;52902;11640;44319;52902;32525
33;53297;19513;44232;53297;33512
34;53497;18081;44908;53497;34499
35;53612;22724;45299;53612;35483
36;53763;17142;45121;53763;36467
37;54139;22741;45612;54139;37455
38;54262;14346;45213;54262;38441
39;54688;20717;45578;54688;39430
40;54721;20446;45755;54721;40421
41;54886;15204;46342;54886;41408
42;54886;22034;46372;54886;42396
43;54934;16662;46480;54934;43382
44;54963;18655;46596;54963;44368
45;54963;19043;46650;54963;45352
46;55078;21123;46945;55078;46345
47;55255;20049;46849;55255;47335
48;55313;14642;46961;55313;48324
49;55401;14826;46855;55401;49306
50;55441;26208;46968;55441;50292
51;55543;25173;46629;55543;51276
52;55543;22534;46293;55543;52265
53;55580;17682;46266;55580;53248
54;55598;15805;46231;55598;54234
55;55737;20232;46725;55737;55225
56;55737;15412;47444;55737;56217
57;55737;20767;47947;55737;57200
58;55766;17126;47302;55766;58187
59;55809;13442;47352;55809;59174
60;55885;22600;47593;55885;60167
61;55885;18852;47627;55885;61152
62;55957;22866;47893;55957;62141
63;55987;24306;47645;55987;63126
64;55987;21012;47478;55987;64114
65;55987;21175;47811;55987;65103
66;55987;22172;47854;55987;66090
67;55987;15722;47908;55987;67065
68;55987;21384;47940;55987;68056
69;55987;16008;47868;55987;69036
70;55987;16612;47932;55987;70022
71;55987;19929;47706;55987;71006
72;55998;20706;47737;55998;71995
73;55998;19119;47767;55998;72983
74;55998;18124;47847;55998;73966
75;55998;24463;47727;55998;74956
76;55998;18707;47716;55998;75942
77;55998;16760;48427;55998;76931
78;56021;19695;48035;56021;77921
79;56021;23927;47585;56021;78908
80;56021;15950;48109;56021;79900
81;56021;17125;47622;56021;80889
82;56021;22414;47846;56021;81875
