Iterations;Overall best;Worst;Average;Best;FFE
0;16641;-27128;-3281;16641;1000
1;23677;-14414;8759;23677;1994
2;27328;-10748;14657;27328;2974
3;31927;-4171;18932;31927;3957
4;34197;-3689;21143;34197;4947
5;36039;-2363;23962;36039;5929
6;37496;291;25843;37496;6922
7;38567;-277;27362;38567;7905
8;39662;-2607;28484;39662;8892
9;39801;2337;30135;39801;9879
10;41689;8724;32005;41689;10864
11;42313;2814;33370;42313;11856
12;42534;7509;34351;42534;12843
13;43334;4742;34693;43334;13837
14;43936;12620;34979;43936;14824
15;45210;1088;35663;45210;15812
16;46387;8423;35851;46387;16795
17;46387;9576;36982;46387;17779
18;46387;14539;37629;46385;18768
19;46704;7867;37930;46704;19749
20;48172;14599;38794;48172;20736
21;48172;2516;38901;47951;21723
22;48172;15305;39371;47951;22711
23;48325;15499;39568;48325;23696
24;48934;14181;39704;48934;24686
25;49149;17351;40203;49149;25678
26;49712;10699;40748;49712;26661
27;49712;18410;41067;49712;27646
28;49883;5800;41463;49883;28639
29;49951;16775;41578;49951;29622
30;50311;18732;42097;50311;30614
31;50845;17618;42142;50845;31602
32;50999;4169;42468;50999;32589
33;50999;17699;42610;50945;33577
34;51089;19119;43169;51089;34560
35;51089;18415;42878;51089;35549
36;51182;9708;43580;51182;36532
37;51414;21477;43422;51414;37520
38;51521;14250;43333;51521;38504
39;51626;15098;43259;51626;39490
40;51626;20927;43372;51626;40476
41;51626;20967;43592;51626;41465
42;51891;15419;43817;51891;42454
43;51891;14572;43566;51891;43435
44;52162;9052;43827;52162;44422
45;52162;15468;43624;52162;45410
46;52162;15604;44320;52162;46391
47;52227;18883;44336;52227;47378
48;52388;16386;44815;52388;48362
49;52388;19769;44246;52388;49352
50;52454;20249;44320;52454;50345
51;52607;18731;44274;52607;51329
52;52607;17933;44015;52607;52320
53;53011;16594;43936;53011;53309
54;53011;19629;43726;53011;54289
55;53011;17797;44268;53011;55276
56;53489;20019;44554;53489;56259
57;53489;17401;44599;53489;57246
58;53489;10934;45081;53489;58224
59;53785;18455;45024;53785;59207
60;53809;21120;45139;53809;60190
61;53809;23082;45256;53809;61169
62;54040;21918;45665;54040;62160
63;54040;13527;45427;54040;63151
64;54074;21227;46060;54074;64140
65;54095;16927;46102;54095;65124
66;54186;22055;46257;54186;66104
67;54212;17477;45920;54212;67091
68;54912;14879;46304;54912;68068
69;54912;19138;46665;54912;69053
70;54915;13602;46589;54915;70033
71;54991;12783;46217;54991;71015
72;55002;13347;46497;55002;72003
73;55053;20104;46616;55053;72986
74;55053;21462;46819;55053;73977
75;55053;21501;46537;55053;74965
76;55114;20749;46564;55114;75949
77;55114;16857;46740;55114;76941
78;55331;18739;47061;55331;77924
79;55392;20592;46484;55392;78912
80;55392;19561;46832;55392;79895
81;55400;23734;47050;55400;80887
82;55424;12853;46769;55424;81875
83;55537;22057;46946;55537;82859
84;55537;10978;47026;55537;83846
85;55537;16414;47176;55537;84830
86;55537;17816;47407;55537;85811
87;55632;25239;47533;55632;86803
88;55664;23562;47660;55664;87787
89;55692;21706;47244;55692;88771
90;55692;19668;47211;55692;89758
91;55787;20494;47806;55787;90742
92;55787;17396;47611;55787;91728
93;55787;16825;47332;55787;92716
94;55818;20683;47351;55818;93704
95;55818;25319;47295;55818;94692
96;55818;16925;47351;55818;95685
97;55818;14646;47505;55818;96674
98;56084;16226;47347;56084;97663
99;56084;20807;47259;56084;98648
100;56084;20413;47768;56084;99633
101;56084;19128;47801;56084;100613
102;56084;21274;48080;56084;101593
103;56084;17587;48217;56084;102577
104;56084;23444;47959;56084;103564
105;56125;19168;48037;56125;104551
106;56204;23002;47935;56204;105540
107;56204;20341;48268;56204;106526
108;56281;22594;48032;56281;107513
109;56281;23793;48270;56281;108505
110;56391;18406;48118;56391;109488
111;56418;22089;48090;56418;110475
112;56418;23622;48121;56418;111459
113;56418;19882;47543;56418;112449
114;56418;14082;48007;56418;113432
115;56437;21860;48241;56437;114417
116;56437;21054;48104;56437;115402
117;56437;13441;48484;56437;116388
118;56437;22152;48529;56437;117375
119;56437;24817;48442;56437;118367
120;56437;18249;48229;56437;119357
121;56462;24180;48389;56462;120348
122;56462;19720;48321;56462;121329
123;56462;22350;48205;56462;122318
124;56462;17273;47936;56462;123305
125;56462;18065;48138;56462;124285
126;56462;16148;48519;56462;125276
127;56467;14969;47989;56467;126258
128;56511;18558;48237;56511;127242
129;56517;18991;48317;56517;128217
130;56517;14143;48408;56517;129200
131;56517;24069;48286;56517;130189
132;56517;9550;48639;56517;131174
133;56517;22515;48249;56517;132161
134;56517;22461;48083;56517;133151
135;56519;20657;48258;56519;134137
136;56519;23095;48580;56519;135125
137;56519;18581;48458;56519;136101
138;56519;23207;48435;56519;137088
139;56519;13079;48322;56519;138075
140;56519;26205;48274;56519;139057
141;56519;23547;48057;56519;140048
142;56519;19448;48668;56519;141040
143;56519;23733;48314;56519;142030
144;56519;24290;48519;56519;143021
145;56519;23506;48301;56519;144003
146;56519;23468;48290;56519;144989
147;56519;22130;48505;56519;145975
148;56519;25585;48575;56519;146954
149;56519;25065;48551;56519;147945
150;56519;21006;48026;56519;148932
151;56519;23231;48076;56519;149919
152;56519;18735;48277;56519;150906
153;56519;19423;48210;56519;151894
154;56559;19390;48221;56559;152883
155;56559;21770;48635;56559;153866
156;56559;13530;48328;56559;154856
157;56559;17293;48191;56559;155844
158;56559;20576;48109;56559;156824
159;56559;22046;47913;56559;157807
160;56559;20322;48178;56559;158791
161;56559;20821;48277;56559;159770
162;56559;23947;48413;56559;160755
163;56590;25413;48479;56590;161729
164;56590;6693;48564;56590;162709
165;56590;22132;48750;56590;163697
166;56590;14591;48375;56590;164681
167;56590;24155;48632;56590;165661
168;56590;20735;48509;56590;166651
169;56590;23046;48357;56590;167639
170;56590;14856;47834;56590;168630
171;56590;19041;47899;56590;169614
172;56590;9503;48368;56590;170599
173;56590;21117;48086;56590;171588
174;56590;20430;48386;56590;172572
175;56590;21907;48650;56590;173560
176;56590;21625;48412;56590;174545
177;56590;21635;48290;56590;175538
178;56590;21458;48238;56590;176523
179;56590;18478;48425;56590;177511
180;56590;18317;48361;56590;178500
181;56590;16333;48205;56590;179482
182;56590;19607;48183;56590;180470
183;56590;25415;48018;56590;181458
184;56590;23111;48284;56590;182445
185;56590;25083;48218;56590;183430
186;56590;21639;48574;56590;184423
187;56590;21710;48361;56590;185407
188;56590;25361;48314;56590;186394
189;56590;25658;48180;56590;187378
190;56590;22726;48500;56590;188359
191;56590;21881;48209;56590;189349
192;56590;23912;48465;56590;190336
193;56590;19925;48083;56590;191318
194;56590;20339;48614;56590;192303
195;56590;20052;48943;56590;193285
196;56590;23254;48172;56590;194275
197;56590;26286;48532;56590;195262
198;56590;17422;48344;56590;196245
199;56590;19685;48398;56590;197227
200;56590;23002;48293;56590;198211
201;56590;18044;48294;56590;199196
202;56590;24209;48458;56590;200189
203;56590;26947;48413;56590;201173
204;56590;16347;48447;56590;202159
205;56590;12333;48528;56590;203147
206;56590;22594;48120;56590;204131
207;56590;18984;48194;56590;205119
208;56590;18387;48522;56590;206103
209;56590;24069;48642;56590;207089
210;56590;22302;48148;56590;208077
211;56590;22070;48228;56590;209063
212;56590;20979;47797;56590;210046
213;56590;20516;48636;56590;211032
214;56590;16880;48234;56590;212016
215;56590;17870;48502;56590;213000
216;56590;21321;48428;56590;213978
217;56590;11771;48229;56590;214965
218;56590;18460;48248;56590;215954
