Iterations;Overall best;Worst;Average;Best;FFE
0;20501;-35313;-3500;20501;1000
1;20501;-37082;-1086;19970;2000
2;22450;-38329;-1003;22450;3000
3;22450;-30554;-795;20103;4000
4;24666;-29541;-342;24666;5000
5;24666;-37655;-348;23385;6000
6;24666;-30315;-400;22684;7000
7;24666;-43690;-823;22330;8000
8;24666;-30599;-1033;22559;9000
9;26584;-41161;-518;26584;10000
10;26584;-27961;-299;22303;11000
11;26584;-26792;-737;24062;12000
12;26584;-27145;-631;21359;13000
13;26584;-28617;-915;21518;14000
14;26584;-26528;-417;20986;15000
15;26855;-31499;207;26855;16000
16;26855;-33531;-395;21285;17000
17;26855;-33423;-466;24149;18000
18;26855;-43588;-902;22767;19000
19;26855;-28965;-550;22847;20000
20;26855;-26070;74;22146;21000
21;26855;-31672;-620;22249;22000
22;26855;-29385;-139;26465;23000
23;26855;-27812;79;22460;24000
24;26855;-36043;-312;21922;25000
25;26855;-31649;-532;20930;26000
26;26855;-33124;275;22825;27000
27;26855;-29958;-147;22912;28000
28;26855;-29196;-438;23415;29000
29;26855;-33016;-338;26257;30000
30;26855;-26844;-883;23643;31000
31;26855;-31580;-545;23275;32000
32;26855;-33781;-565;21135;33000
33;26855;-32258;-349;20072;34000
34;26855;-28658;-839;22661;35000
35;26855;-33007;-395;25377;36000
36;26855;-27877;-364;21972;37000
37;26855;-29951;-800;22347;38000
38;26855;-34632;-1014;22188;39000
39;26855;-31092;-348;22309;40000
40;26855;-30181;-989;20907;41000
41;26855;-28575;-368;25115;42000
42;29115;-34037;-619;29115;43000
43;29115;-34101;-218;24048;44000
44;29115;-33666;-153;18951;45000
45;29115;-34423;-849;21163;46000
46;29115;-34615;-941;25962;47000
47;29115;-45691;-678;22658;48000
48;29115;-28648;-978;19656;49000
49;29115;-30312;-669;20854;50000
50;29115;-32604;-210;23598;51000
51;29115;-28276;-34;23565;52000
52;29115;-31586;-456;21641;53000
53;29115;-38624;-703;21359;54000
54;29115;-24867;160;21724;55000
55;29115;-26606;-440;20757;56000
56;29115;-27626;-462;21844;57000
57;29115;-33098;-872;22334;58000
58;29115;-32494;-210;25520;59000
59;29115;-29170;-73;18477;60000
60;29115;-29766;-323;27432;61000
61;29115;-34300;-744;23663;62000
