Iterations;Overall best;Worst;Average;Best;FFE
0;-3.99908e+06;-5.47288e+06;-4.69451e+06;-3.99908e+06;1000
1;-3.47576e+06;-5.09047e+06;-4.33056e+06;-3.47576e+06;1955
2;-3.35087e+06;-5.02127e+06;-4.0207e+06;-3.35087e+06;2879
3;-3.08592e+06;-4.69751e+06;-3.71849e+06;-3.08592e+06;3815
4;-2.88458e+06;-4.34095e+06;-3.40457e+06;-2.88458e+06;4736
5;-2.82868e+06;-4.0245e+06;-3.1855e+06;-2.82868e+06;5650
6;-2.73487e+06;-3.58832e+06;-2.97941e+06;-2.73487e+06;6587
7;-2.66716e+06;-3.25989e+06;-2.87864e+06;-2.66716e+06;7513
8;-2.60248e+06;-3.24599e+06;-2.8123e+06;-2.60248e+06;8450
9;-2.53167e+06;-3.24185e+06;-2.75093e+06;-2.53167e+06;9378
10;-2.51532e+06;-3.08867e+06;-2.69938e+06;-2.51532e+06;10304
11;-2.45872e+06;-3.18254e+06;-2.63721e+06;-2.45872e+06;11228
12;-2.39078e+06;-3.35393e+06;-2.61366e+06;-2.39078e+06;12161
13;-2.3851e+06;-3.15891e+06;-2.55121e+06;-2.3851e+06;13087
14;-2.36026e+06;-3.27134e+06;-2.50272e+06;-2.36026e+06;14011
15;-2.32667e+06;-3.13919e+06;-2.49459e+06;-2.32667e+06;14964
16;-2.25624e+06;-3.34001e+06;-2.45693e+06;-2.25624e+06;15882
17;-2.24546e+06;-3.35242e+06;-2.42293e+06;-2.24546e+06;16809
18;-2.22972e+06;-3.12903e+06;-2.36766e+06;-2.22972e+06;17731
19;-2.21316e+06;-3.12176e+06;-2.36237e+06;-2.21316e+06;18670
20;-2.21316e+06;-3.18465e+06;-2.36174e+06;-2.21316e+06;19605
21;-2.21316e+06;-3.24914e+06;-2.35042e+06;-2.21316e+06;20533
22;-2.21316e+06;-3.23829e+06;-2.35847e+06;-2.21316e+06;21467
23;-2.21316e+06;-3.24684e+06;-2.38164e+06;-2.21316e+06;22391
24;-2.21316e+06;-3.46965e+06;-2.41384e+06;-2.21316e+06;23310
25;-2.21316e+06;-3.93278e+06;-2.45216e+06;-2.21316e+06;24237
26;-2.21316e+06;-3.59968e+06;-2.4739e+06;-2.21316e+06;25168
27;-2.21316e+06;-3.56206e+06;-2.50527e+06;-2.21316e+06;26107
28;-2.21316e+06;-3.88392e+06;-2.54162e+06;-2.21316e+06;27051
29;-2.21316e+06;-3.88504e+06;-2.56471e+06;-2.21316e+06;27986
30;-2.21316e+06;-4.0642e+06;-2.59194e+06;-2.21316e+06;28914
31;-2.21316e+06;-4.02314e+06;-2.64562e+06;-2.21316e+06;29855
32;-2.21316e+06;-4.0639e+06;-2.67458e+06;-2.21316e+06;30786
33;-2.21316e+06;-4.01057e+06;-2.73008e+06;-2.21316e+06;31716
34;-2.21316e+06;-4.33946e+06;-2.7634e+06;-2.21316e+06;32633
35;-2.21316e+06;-4.36121e+06;-2.80585e+06;-2.21316e+06;33569
36;-2.21316e+06;-4.5747e+06;-2.82879e+06;-2.21316e+06;34491
37;-2.21316e+06;-4.3491e+06;-2.87267e+06;-2.21316e+06;35433
38;-2.21316e+06;-4.48041e+06;-2.8723e+06;-2.21316e+06;36372
39;-2.21316e+06;-4.44104e+06;-2.90244e+06;-2.21316e+06;37320
40;-2.21316e+06;-4.57137e+06;-2.91243e+06;-2.21316e+06;38268
41;-2.21316e+06;-4.56905e+06;-2.90615e+06;-2.21316e+06;39203
42;-2.21316e+06;-4.37052e+06;-2.87849e+06;-2.21316e+06;40127
43;-2.21316e+06;-4.56304e+06;-2.91183e+06;-2.21316e+06;41057
44;-2.21316e+06;-4.40887e+06;-2.91484e+06;-2.21316e+06;42005
45;-2.21316e+06;-4.25975e+06;-2.9044e+06;-2.21316e+06;42927
46;-2.21316e+06;-4.30964e+06;-2.89786e+06;-2.21316e+06;43849
47;-2.21316e+06;-4.4718e+06;-2.90648e+06;-2.21316e+06;44775
48;-2.21316e+06;-3.99383e+06;-2.89664e+06;-2.21316e+06;45695
49;-2.21316e+06;-4.37247e+06;-2.91426e+06;-2.21316e+06;46611
50;-2.21316e+06;-4.32858e+06;-2.91941e+06;-2.21316e+06;47543
51;-2.21316e+06;-4.41164e+06;-2.91897e+06;-2.21316e+06;48469
52;-2.21316e+06;-4.30762e+06;-2.92251e+06;-2.21316e+06;49396
53;-2.21316e+06;-4.49264e+06;-2.92141e+06;-2.21316e+06;50332
54;-2.21316e+06;-4.27907e+06;-2.9304e+06;-2.21316e+06;51271
55;-2.21316e+06;-4.0319e+06;-2.91678e+06;-2.21316e+06;52195
56;-2.21316e+06;-4.57929e+06;-2.92512e+06;-2.21316e+06;53126
57;-2.21316e+06;-4.37162e+06;-2.93955e+06;-2.21316e+06;54073
58;-2.21316e+06;-4.10775e+06;-2.90363e+06;-2.21316e+06;54985
59;-2.21316e+06;-4.36841e+06;-2.91103e+06;-2.21316e+06;55906
60;-2.21316e+06;-4.30097e+06;-2.92494e+06;-2.21316e+06;56858
61;-2.21316e+06;-4.50783e+06;-2.90604e+06;-2.21316e+06;57777
62;-2.21316e+06;-4.20878e+06;-2.91096e+06;-2.21316e+06;58689
63;-2.21316e+06;-4.08999e+06;-2.92179e+06;-2.21316e+06;59623
64;-2.21316e+06;-4.42841e+06;-2.92389e+06;-2.21316e+06;60563
65;-2.21316e+06;-4.16666e+06;-2.91844e+06;-2.21316e+06;61492
66;-2.21316e+06;-4.35456e+06;-2.9221e+06;-2.21316e+06;62433
67;-2.21316e+06;-4.32838e+06;-2.91607e+06;-2.21316e+06;63374
68;-2.21316e+06;-4.4812e+06;-2.90116e+06;-2.21316e+06;64314
69;-2.21316e+06;-4.52495e+06;-2.90555e+06;-2.21316e+06;65245
70;-2.21316e+06;-4.39787e+06;-2.91852e+06;-2.21316e+06;66183
71;-2.21316e+06;-4.44801e+06;-2.9137e+06;-2.21316e+06;67118
72;-2.21316e+06;-4.43327e+06;-2.89985e+06;-2.21316e+06;68041
73;-2.21316e+06;-4.37852e+06;-2.90868e+06;-2.21316e+06;68977
74;-2.21316e+06;-4.57362e+06;-2.89719e+06;-2.21316e+06;69905
75;-2.21316e+06;-4.48769e+06;-2.88543e+06;-2.21316e+06;70816
76;-2.21316e+06;-4.3279e+06;-2.91576e+06;-2.21316e+06;71757
77;-2.21316e+06;-4.45171e+06;-2.88569e+06;-2.21316e+06;72686
78;-2.21316e+06;-4.46932e+06;-2.9107e+06;-2.21316e+06;73618
79;-2.21316e+06;-4.37845e+06;-2.89648e+06;-2.21316e+06;74544
80;-2.21316e+06;-4.34873e+06;-2.89433e+06;-2.21316e+06;75467
81;-2.21316e+06;-4.34213e+06;-2.91761e+06;-2.21316e+06;76389
82;-2.21316e+06;-4.21101e+06;-2.91178e+06;-2.21316e+06;77323
83;-2.21316e+06;-4.28344e+06;-2.91536e+06;-2.21316e+06;78263
84;-2.21316e+06;-4.32634e+06;-2.9132e+06;-2.21316e+06;79198
85;-2.21316e+06;-4.35798e+06;-2.92253e+06;-2.21316e+06;80116
86;-2.21316e+06;-4.37669e+06;-2.90743e+06;-2.21316e+06;81034
87;-2.21316e+06;-4.37651e+06;-2.91158e+06;-2.21316e+06;81969
88;-2.21316e+06;-4.25928e+06;-2.91333e+06;-2.21316e+06;82898
89;-2.21316e+06;-4.34857e+06;-2.91092e+06;-2.21316e+06;83822
90;-2.21316e+06;-4.2943e+06;-2.9046e+06;-2.21316e+06;84742
91;-2.21316e+06;-4.37541e+06;-2.89883e+06;-2.21316e+06;85673
92;-2.21316e+06;-4.28165e+06;-2.8778e+06;-2.21316e+06;86595
93;-2.21316e+06;-4.4606e+06;-2.90851e+06;-2.21316e+06;87524
94;-2.21316e+06;-4.35507e+06;-2.89419e+06;-2.21316e+06;88457
95;-2.21316e+06;-4.42797e+06;-2.9033e+06;-2.21316e+06;89396
96;-2.21316e+06;-4.39458e+06;-2.88867e+06;-2.21316e+06;90310
97;-2.21316e+06;-4.45238e+06;-2.90769e+06;-2.21316e+06;91238
98;-2.21316e+06;-4.54682e+06;-2.9145e+06;-2.21316e+06;92169
99;-2.21316e+06;-4.37198e+06;-2.92349e+06;-2.21316e+06;93094
100;-2.21316e+06;-4.22692e+06;-2.89819e+06;-2.21316e+06;94039
101;-2.21316e+06;-4.08266e+06;-2.87781e+06;-2.21316e+06;94964
102;-2.21316e+06;-4.2974e+06;-2.90869e+06;-2.21316e+06;95899
103;-2.21316e+06;-4.30939e+06;-2.8919e+06;-2.21316e+06;96820
104;-2.21316e+06;-4.28206e+06;-2.90676e+06;-2.21316e+06;97749
105;-2.21316e+06;-4.24749e+06;-2.89826e+06;-2.21316e+06;98676
106;-2.21316e+06;-4.21118e+06;-2.89302e+06;-2.21316e+06;99600
107;-2.21316e+06;-4.60836e+06;-2.90077e+06;-2.21316e+06;100527
108;-2.21316e+06;-4.2145e+06;-2.91177e+06;-2.21316e+06;101462
109;-2.21316e+06;-4.389e+06;-2.90637e+06;-2.21316e+06;102388
110;-2.21316e+06;-4.30825e+06;-2.91869e+06;-2.21316e+06;103317
111;-2.21316e+06;-4.32124e+06;-2.89261e+06;-2.21316e+06;104224
112;-2.21316e+06;-4.13082e+06;-2.8956e+06;-2.21316e+06;105139
113;-2.21316e+06;-4.44748e+06;-2.89424e+06;-2.21316e+06;106070
114;-2.21316e+06;-4.00259e+06;-2.90507e+06;-2.21316e+06;107001
115;-2.21316e+06;-4.287e+06;-2.89633e+06;-2.21316e+06;107940
116;-2.21316e+06;-4.54527e+06;-2.8983e+06;-2.21316e+06;108878
117;-2.21316e+06;-4.39699e+06;-2.91352e+06;-2.21316e+06;109803
118;-2.21316e+06;-4.50757e+06;-2.92636e+06;-2.21316e+06;110730
119;-2.21316e+06;-4.46702e+06;-2.91972e+06;-2.21316e+06;111663
120;-2.21316e+06;-4.4174e+06;-2.90758e+06;-2.21316e+06;112592
121;-2.21316e+06;-4.20792e+06;-2.9046e+06;-2.21316e+06;113527
