Iterations;Overall best;Worst;Average;Best
0;-30952;-166769;-68344;-30952
1;-25459;-86042;-41489;-25459
2;-22197;-71228;-32952;-22197
3;-17787;-62660;-27732;-17787
4;-15316;-47980;-23660;-15316
5;-13442;-44593;-20182;-13442
6;-11919;-43879;-17624;-11919
7;-10396;-35587;-15147;-10396
8;-9520;-35118;-13436;-9520
9;-8022;-29786;-12161;-8022
10;-7851;-30161;-10890;-7851
11;-7238;-28617;-9750;-7238
12;-6653;-30411;-8923;-6653
13;-6029;-26643;-8520;-6029
14;-5691;-26008;-7928;-5691
15;-5204;-25243;-7222;-5204
16;-4922;-27142;-6748;-4922
17;-4623;-25237;-6411;-4623
18;-4515;-22766;-5993;-4515
19;-4265;-22344;-5549;-4265
20;-4147;-20957;-5123;-4147
21;-4070;-26732;-5038;-4070
22;-4055;-24639;-4780;-4055
23;-4037;-21711;-4749;-4037
24;-4023;-24823;-4694;-4023
25;-4021;-23525;-4682;-4021
26;-4018;-23756;-4833;-4018
27;-3975;-24363;-4813;-3975
28;-3973;-23979;-4685;-3973
29;-3958;-22240;-4781;-3958
30;-3952;-21360;-4586;-3952
31;-3952;-22824;-4565;-3952
32;-3952;-26522;-4557;-3952
33;-3952;-26225;-4550;-3952
34;-3952;-23371;-4538;-3952
35;-3952;-22867;-4525;-3952
36;-3952;-22486;-4533;-3952
37;-3952;-25585;-4564;-3952
38;-3952;-21540;-4556;-3952
39;-3952;-24364;-4562;-3952
40;-3952;-25995;-4574;-3952
41;-3952;-20778;-4550;-3952
42;-3952;-24099;-4568;-3952
43;-3952;-28587;-4573;-3952
44;-3952;-30167;-4559;-3952
45;-3952;-25601;-4554;-3952
46;-3952;-22592;-4559;-3952
47;-3952;-23339;-4549;-3952
48;-3952;-29473;-4557;-3952
49;-3952;-24260;-4574;-3952
50;-3952;-21103;-4530;-3952
51;-3952;-24983;-4551;-3952
52;-3952;-21619;-4544;-3952
53;-3952;-32785;-4555;-3952
54;-3952;-20640;-4540;-3952
55;-3952;-21103;-4558;-3952
56;-3952;-22690;-4550;-3952
57;-3952;-28805;-4544;-3952
58;-3952;-22542;-4529;-3952
59;-3952;-21103;-4553;-3952
60;-3952;-21103;-4531;-3952
61;-3952;-25090;-4546;-3952
62;-3952;-21871;-4558;-3952
63;-3952;-25371;-4552;-3952
64;-3952;-24469;-4541;-3952
65;-3952;-28235;-4548;-3952
66;-3952;-23900;-4544;-3952
67;-3952;-24182;-4567;-3952
68;-3952;-24594;-4575;-3952
69;-3952;-21605;-4555;-3952
70;-3952;-21103;-4569;-3952
71;-3952;-25497;-4563;-3952
72;-3952;-23066;-4562;-3952
73;-3952;-21463;-4538;-3952
74;-3952;-21103;-4577;-3952
75;-3952;-24576;-4575;-3952
76;-3952;-24222;-4562;-3952
77;-3952;-23283;-4541;-3952
78;-3952;-22427;-4551;-3952
79;-3952;-21515;-4569;-3952
80;-3952;-21103;-4550;-3952
81;-3952;-21829;-4548;-3952
82;-3952;-23920;-4587;-3952
83;-3952;-21103;-4537;-3952
84;-3952;-28717;-4558;-3952
85;-3952;-23017;-4560;-3952
86;-3952;-21185;-4563;-3952
87;-3952;-20269;-4518;-3952
88;-3952;-22003;-4528;-3952
89;-3952;-23803;-4574;-3952
90;-3952;-25641;-4567;-3952
91;-3952;-23560;-4542;-3952
92;-3952;-25402;-4568;-3952
93;-3952;-24620;-4566;-3952
94;-3952;-27353;-4551;-3952
95;-3952;-25799;-4554;-3952
96;-3952;-29051;-4557;-3952
97;-3952;-23178;-4578;-3952
98;-3952;-21107;-4534;-3952
99;-3952;-23339;-4547;-3952
Best solution:
	TSP: [36, 37, 6, 4, 12, 11, 51, 33, 43, 38, 40, 39, 1, 31, 18, 3, 17, 7, 2, 42, 30, 23, 32, 45, 19, 41, 8, 9, 10, 15, 5, 24, 48, 25, 28, 26, 27, 13, 52, 14, 47, 29, 16, 46, 44, 50, 20, 21, 22, 49, 34, 35]
KSP: 
