Iterations;Overall best;Worst;Average;Best
83;-1.38312e+06;-1.52759e+06;-1.40416e+06;-1.38312e+06
84;-1.3806e+06;-1.5489e+06;-1.39995e+06;-1.3806e+06
85;-1.37026e+06;-1.47637e+06;-1.38857e+06;-1.37026e+06
86;-1.35908e+06;-1.45064e+06;-1.38135e+06;-1.35908e+06
87;-1.35213e+06;-1.44876e+06;-1.37158e+06;-1.35213e+06
88;-1.34352e+06;-1.45088e+06;-1.36283e+06;-1.34352e+06
89;-1.33842e+06;-1.47096e+06;-1.35423e+06;-1.33842e+06
90;-1.32822e+06;-1.43406e+06;-1.34587e+06;-1.32822e+06
91;-1.31903e+06;-1.4778e+06;-1.33515e+06;-1.31903e+06
92;-1.30663e+06;-1.48507e+06;-1.32704e+06;-1.30663e+06
93;-1.3044e+06;-1.45362e+06;-1.31602e+06;-1.3044e+06
94;-1.29899e+06;-1.454e+06;-1.30904e+06;-1.29899e+06
95;-1.29248e+06;-1.39471e+06;-1.30412e+06;-1.29248e+06
96;-1.2879e+06;-1.39214e+06;-1.2984e+06;-1.2879e+06
97;-1.28079e+06;-1.38889e+06;-1.29395e+06;-1.28079e+06
98;-1.27424e+06;-1.39732e+06;-1.28939e+06;-1.27424e+06
99;-1.26868e+06;-1.38118e+06;-1.28369e+06;-1.26868e+06
100;-1.26816e+06;-1.38833e+06;-1.27601e+06;-1.26816e+06
101;-1.26327e+06;-1.3989e+06;-1.2708e+06;-1.26327e+06
102;-1.26144e+06;-1.363e+06;-1.27049e+06;-1.26144e+06
103;-1.25888e+06;-1.40036e+06;-1.26576e+06;-1.25888e+06
104;-1.25567e+06;-1.34545e+06;-1.2638e+06;-1.25567e+06
105;-1.25281e+06;-1.39547e+06;-1.26162e+06;-1.25281e+06
106;-1.24867e+06;-1.33519e+06;-1.25719e+06;-1.24867e+06
107;-1.24516e+06;-1.40291e+06;-1.2541e+06;-1.24516e+06
108;-1.24139e+06;-1.31768e+06;-1.25156e+06;-1.24139e+06
109;-1.23947e+06;-1.33386e+06;-1.24597e+06;-1.23947e+06
110;-1.23393e+06;-1.32168e+06;-1.24444e+06;-1.23393e+06
111;-1.22785e+06;-1.39526e+06;-1.24239e+06;-1.22785e+06
112;-1.22435e+06;-1.31038e+06;-1.24003e+06;-1.22435e+06
113;-1.21907e+06;-1.40912e+06;-1.23048e+06;-1.21907e+06
114;-1.21405e+06;-1.29725e+06;-1.22794e+06;-1.21405e+06
115;-1.21213e+06;-1.33642e+06;-1.22406e+06;-1.21213e+06
116;-1.20815e+06;-1.33372e+06;-1.21846e+06;-1.20815e+06
117;-1.20224e+06;-1.34024e+06;-1.21594e+06;-1.20224e+06
118;-1.19627e+06;-1.30973e+06;-1.21184e+06;-1.19627e+06
119;-1.19229e+06;-1.31657e+06;-1.20597e+06;-1.19229e+06
120;-1.18242e+06;-1.30625e+06;-1.2024e+06;-1.18242e+06
121;-1.18001e+06;-1.27771e+06;-1.19735e+06;-1.18001e+06
122;-1.16867e+06;-1.28535e+06;-1.18689e+06;-1.16867e+06
123;-1.16459e+06;-1.31298e+06;-1.18419e+06;-1.16459e+06
124;-1.16164e+06;-1.2658e+06;-1.17022e+06;-1.16164e+06
125;-1.15743e+06;-1.29763e+06;-1.16607e+06;-1.15743e+06
