Iterations;Overall best;Worst;Average;Best;FFE
0;-3.82264e+06;-5.54683e+06;-4.52216e+06;-3.82264e+06;1000
1;-3.8112e+06;-5.44025e+06;-4.38028e+06;-3.8112e+06;1796
2;-3.8112e+06;-5.19454e+06;-4.3478e+06;-3.8112e+06;2592
3;-3.75626e+06;-5.49108e+06;-4.35545e+06;-3.75626e+06;3408
4;-3.75626e+06;-5.29711e+06;-4.3707e+06;-3.75626e+06;4230
5;-3.75626e+06;-5.43166e+06;-4.36345e+06;-3.75626e+06;5022
6;-3.75626e+06;-5.41256e+06;-4.37836e+06;-3.75626e+06;5822
7;-3.72418e+06;-5.41196e+06;-4.39833e+06;-3.72418e+06;6636
8;-3.72418e+06;-5.62904e+06;-4.37172e+06;-3.72418e+06;7432
9;-3.72418e+06;-5.38671e+06;-4.38754e+06;-3.72418e+06;8246
10;-3.72418e+06;-5.25817e+06;-4.39461e+06;-3.72418e+06;9058
11;-3.72418e+06;-5.59817e+06;-4.3752e+06;-3.72418e+06;9866
12;-3.72418e+06;-5.32544e+06;-4.39602e+06;-3.72418e+06;10694
13;-3.72418e+06;-5.49889e+06;-4.37394e+06;-3.72418e+06;11484
14;-3.72418e+06;-5.37326e+06;-4.39824e+06;-3.72418e+06;12314
15;-3.53897e+06;-5.33444e+06;-4.36023e+06;-3.53897e+06;13100
16;-3.53897e+06;-5.3422e+06;-4.37612e+06;-3.53897e+06;13886
17;-3.53897e+06;-5.3971e+06;-4.35795e+06;-3.53897e+06;14696
18;-3.53897e+06;-5.32752e+06;-4.33633e+06;-3.53897e+06;15496
19;-3.53897e+06;-5.16729e+06;-4.3108e+06;-3.53897e+06;16264
20;-3.53897e+06;-5.37744e+06;-4.35138e+06;-3.53897e+06;17072
21;-3.53897e+06;-5.38071e+06;-4.31156e+06;-3.53897e+06;17830
22;-3.53897e+06;-5.14786e+06;-4.3305e+06;-3.53897e+06;18618
23;-3.53897e+06;-5.43354e+06;-4.33241e+06;-3.53897e+06;19404
24;-3.53897e+06;-5.17993e+06;-4.34633e+06;-3.53897e+06;20204
25;-3.53897e+06;-5.22758e+06;-4.32056e+06;-3.53897e+06;20982
26;-3.53897e+06;-5.27084e+06;-4.34111e+06;-3.53897e+06;21786
27;-3.53897e+06;-5.29796e+06;-4.3854e+06;-3.53897e+06;22612
28;-3.53897e+06;-5.23528e+06;-4.375e+06;-3.53897e+06;23434
29;-3.53897e+06;-5.48204e+06;-4.36765e+06;-3.53897e+06;24252
30;-3.53897e+06;-5.36136e+06;-4.35343e+06;-3.53897e+06;25054
31;-3.53897e+06;-5.49018e+06;-4.34277e+06;-3.53897e+06;25858
32;-3.53897e+06;-5.42874e+06;-4.35527e+06;-3.53897e+06;26670
33;-3.53897e+06;-5.32519e+06;-4.3342e+06;-3.53897e+06;27454
34;-3.53897e+06;-5.24778e+06;-4.40066e+06;-3.53897e+06;28318
35;-3.53897e+06;-5.27503e+06;-4.32272e+06;-3.53897e+06;29090
36;-3.53897e+06;-5.31886e+06;-4.35236e+06;-3.53897e+06;29900
37;-3.53897e+06;-5.29474e+06;-4.35127e+06;-3.53897e+06;30704
38;-3.53897e+06;-5.34554e+06;-4.33714e+06;-3.53897e+06;31506
39;-3.53897e+06;-5.34545e+06;-4.34055e+06;-3.53897e+06;32302
40;-3.53897e+06;-5.38344e+06;-4.36103e+06;-3.53897e+06;33118
41;-3.53897e+06;-5.30684e+06;-4.33675e+06;-3.53897e+06;33922
42;-3.53897e+06;-5.37704e+06;-4.34068e+06;-3.53897e+06;34720
43;-3.53897e+06;-5.44498e+06;-4.34514e+06;-3.53897e+06;35520
44;-3.53897e+06;-5.49846e+06;-4.35705e+06;-3.53897e+06;36330
45;-3.53897e+06;-5.25723e+06;-4.32323e+06;-3.53897e+06;37114
46;-3.53897e+06;-5.60274e+06;-4.35459e+06;-3.53897e+06;37924
47;-3.53897e+06;-5.22259e+06;-4.32345e+06;-3.53897e+06;38710
48;-3.53897e+06;-5.35691e+06;-4.35702e+06;-3.53897e+06;39510
49;-3.53897e+06;-5.48364e+06;-4.33752e+06;-3.53897e+06;40312
50;-3.53897e+06;-5.4259e+06;-4.32378e+06;-3.53897e+06;41096
51;-3.53897e+06;-5.33311e+06;-4.35407e+06;-3.53897e+06;41894
52;-3.53897e+06;-5.29888e+06;-4.32946e+06;-3.53897e+06;42682
53;-3.53897e+06;-5.24909e+06;-4.3523e+06;-3.53897e+06;43498
54;-3.53897e+06;-5.43776e+06;-4.33828e+06;-3.53897e+06;44288
55;-3.53897e+06;-5.43136e+06;-4.35098e+06;-3.53897e+06;45090
56;-3.53897e+06;-5.37762e+06;-4.37126e+06;-3.53897e+06;45906
57;-3.53897e+06;-5.17103e+06;-4.35524e+06;-3.53897e+06;46716
58;-3.53897e+06;-5.3339e+06;-4.34778e+06;-3.53897e+06;47520
59;-3.53897e+06;-5.34891e+06;-4.37724e+06;-3.53897e+06;48354
60;-3.53897e+06;-5.23681e+06;-4.38355e+06;-3.53897e+06;49192
61;-3.53897e+06;-5.20011e+06;-4.31734e+06;-3.53897e+06;49970
62;-3.53897e+06;-5.26175e+06;-4.29829e+06;-3.53897e+06;50730
63;-3.53897e+06;-5.20815e+06;-4.34122e+06;-3.53897e+06;51526
64;-3.53897e+06;-5.25331e+06;-4.3488e+06;-3.53897e+06;52340
65;-3.53897e+06;-5.4718e+06;-4.34642e+06;-3.53897e+06;53150
66;-3.53897e+06;-5.25276e+06;-4.35835e+06;-3.53897e+06;53982
67;-3.53897e+06;-5.23622e+06;-4.35058e+06;-3.53897e+06;54790
68;-3.53897e+06;-5.44038e+06;-4.33959e+06;-3.53897e+06;55580
69;-3.53897e+06;-5.44903e+06;-4.33231e+06;-3.53897e+06;56372
70;-3.53897e+06;-5.53342e+06;-4.33532e+06;-3.53897e+06;57152
71;-3.53897e+06;-5.37963e+06;-4.34642e+06;-3.53897e+06;57944
72;-3.53897e+06;-5.34565e+06;-4.3731e+06;-3.53897e+06;58764
73;-3.53897e+06;-5.25107e+06;-4.36597e+06;-3.53897e+06;59578
74;-3.53897e+06;-5.47577e+06;-4.39813e+06;-3.53897e+06;60424
75;-3.53897e+06;-5.35573e+06;-4.32778e+06;-3.53897e+06;61216
76;-3.53897e+06;-5.38816e+06;-4.34605e+06;-3.53897e+06;62020
77;-3.53897e+06;-5.28971e+06;-4.34932e+06;-3.53897e+06;62824
78;-3.53897e+06;-5.37065e+06;-4.3491e+06;-3.53897e+06;63634
79;-3.53897e+06;-5.52666e+06;-4.35676e+06;-3.53897e+06;64460
80;-3.53897e+06;-5.35392e+06;-4.33371e+06;-3.53897e+06;65256
81;-3.53897e+06;-5.44714e+06;-4.34155e+06;-3.53897e+06;66056
82;-3.53897e+06;-5.21857e+06;-4.34648e+06;-3.53897e+06;66862
83;-3.53897e+06;-5.32121e+06;-4.37424e+06;-3.53897e+06;67688
84;-3.53897e+06;-5.49472e+06;-4.37864e+06;-3.53897e+06;68522
85;-3.53897e+06;-5.3512e+06;-4.32944e+06;-3.53897e+06;69314
86;-3.53897e+06;-5.37668e+06;-4.32996e+06;-3.53897e+06;70104
87;-3.53897e+06;-5.4239e+06;-4.33485e+06;-3.53897e+06;70890
88;-3.53897e+06;-5.33129e+06;-4.34314e+06;-3.53897e+06;71684
89;-3.53897e+06;-5.31152e+06;-4.32898e+06;-3.53897e+06;72466
90;-3.53897e+06;-5.35838e+06;-4.36736e+06;-3.53897e+06;73284
91;-3.53897e+06;-5.46329e+06;-4.34338e+06;-3.53897e+06;74082
92;-3.53897e+06;-5.33775e+06;-4.33732e+06;-3.53897e+06;74880
93;-3.53897e+06;-5.31782e+06;-4.35588e+06;-3.53897e+06;75682
94;-3.53897e+06;-5.23739e+06;-4.36949e+06;-3.53897e+06;76506
95;-3.53897e+06;-5.27752e+06;-4.35496e+06;-3.53897e+06;77320
96;-3.53897e+06;-5.43215e+06;-4.34087e+06;-3.53897e+06;78114
97;-3.53897e+06;-5.36047e+06;-4.33294e+06;-3.53897e+06;78906
98;-3.53897e+06;-5.39188e+06;-4.36878e+06;-3.53897e+06;79732
99;-3.53897e+06;-5.27566e+06;-4.36754e+06;-3.53897e+06;80546
100;-3.53897e+06;-5.45533e+06;-4.34301e+06;-3.53897e+06;81344
101;-3.53897e+06;-5.28181e+06;-4.32789e+06;-3.53897e+06;82128
102;-3.53897e+06;-5.4574e+06;-4.32309e+06;-3.53897e+06;82912
103;-3.53897e+06;-5.64679e+06;-4.3471e+06;-3.53897e+06;83718
104;-3.53897e+06;-5.36897e+06;-4.34338e+06;-3.53897e+06;84516
105;-3.53897e+06;-5.32969e+06;-4.36902e+06;-3.53897e+06;85332
106;-3.53897e+06;-5.50608e+06;-4.35703e+06;-3.53897e+06;86152
107;-3.53897e+06;-5.13186e+06;-4.33147e+06;-3.53897e+06;86944
108;-3.53897e+06;-5.37867e+06;-4.33051e+06;-3.53897e+06;87732
109;-3.53897e+06;-5.35812e+06;-4.34783e+06;-3.53897e+06;88534
110;-3.53897e+06;-5.34403e+06;-4.33515e+06;-3.53897e+06;89330
111;-3.53897e+06;-5.2356e+06;-4.33629e+06;-3.53897e+06;90128
112;-3.53897e+06;-5.46247e+06;-4.31743e+06;-3.53897e+06;90900
113;-3.53897e+06;-5.27859e+06;-4.30253e+06;-3.53897e+06;91676
114;-3.53897e+06;-5.29237e+06;-4.33171e+06;-3.53897e+06;92478
115;-3.53897e+06;-5.42517e+06;-4.33168e+06;-3.53897e+06;93264
116;-3.53897e+06;-5.32098e+06;-4.32085e+06;-3.53897e+06;94048
117;-3.53897e+06;-5.34292e+06;-4.34528e+06;-3.53897e+06;94856
118;-3.53897e+06;-5.30644e+06;-4.34325e+06;-3.53897e+06;95660
119;-3.53897e+06;-5.32561e+06;-4.35154e+06;-3.53897e+06;96462
120;-3.53897e+06;-5.36944e+06;-4.34386e+06;-3.53897e+06;97254
121;-3.53897e+06;-5.21858e+06;-4.34227e+06;-3.53897e+06;98050
122;-3.53897e+06;-5.44835e+06;-4.35432e+06;-3.53897e+06;98864
123;-3.53897e+06;-5.28284e+06;-4.32538e+06;-3.53897e+06;99656
124;-3.53897e+06;-5.29708e+06;-4.36254e+06;-3.53897e+06;100472
125;-3.53897e+06;-5.34537e+06;-4.35864e+06;-3.53897e+06;101282
126;-3.53897e+06;-5.3045e+06;-4.36543e+06;-3.53897e+06;102104
127;-3.53897e+06;-5.35173e+06;-4.35844e+06;-3.53897e+06;102918
128;-3.53897e+06;-5.24233e+06;-4.28667e+06;-3.53897e+06;103656
129;-3.53897e+06;-5.37925e+06;-4.35007e+06;-3.53897e+06;104460
130;-3.53897e+06;-5.31799e+06;-4.32536e+06;-3.53897e+06;105242
131;-3.53897e+06;-5.27538e+06;-4.33204e+06;-3.53897e+06;106042
132;-3.53897e+06;-5.50802e+06;-4.36246e+06;-3.53897e+06;106844
133;-3.53897e+06;-5.28517e+06;-4.33898e+06
