Iterations;Overall best;Worst;Average;Best;FFE
0;-3.88048e+06;-4.97294e+06;-4.49399e+06;-3.88048e+06;100
1;-3.88048e+06;-4.87241e+06;-4.32735e+06;-3.88106e+06;199
2;-3.77456e+06;-4.63028e+06;-4.20489e+06;-3.77456e+06;298
3;-3.67397e+06;-4.57307e+06;-4.11012e+06;-3.67397e+06;396
4;-3.59289e+06;-4.54594e+06;-4.08722e+06;-3.59289e+06;491
5;-3.54229e+06;-5.18206e+06;-4.06707e+06;-3.54229e+06;588
6;-3.54229e+06;-4.5232e+06;-3.97636e+06;-3.55334e+06;684
7;-3.45902e+06;-4.49786e+06;-3.88554e+06;-3.45902e+06;783
8;-3.44108e+06;-4.58176e+06;-3.8031e+06;-3.44108e+06;881
9;-3.42754e+06;-4.93101e+06;-3.77729e+06;-3.42754e+06;978
10;-3.32582e+06;-4.81125e+06;-3.70077e+06;-3.32582e+06;1077
11;-3.30451e+06;-4.41158e+06;-3.67804e+06;-3.30451e+06;1175
12;-3.24002e+06;-4.70153e+06;-3.65288e+06;-3.24002e+06;1274
13;-3.21161e+06;-4.30244e+06;-3.5461e+06;-3.21161e+06;1373
14;-3.14134e+06;-4.60271e+06;-3.50864e+06;-3.14134e+06;1469
15;-3.14134e+06;-4.00391e+06;-3.45338e+06;-3.14373e+06;1568
16;-3.09e+06;-4.492e+06;-3.48291e+06;-3.09e+06;1666
17;-3.09e+06;-3.94095e+06;-3.37856e+06;-3.12412e+06;1764
18;-3.09e+06;-4.18406e+06;-3.39946e+06;-3.12258e+06;1863
19;-3.09e+06;-4.37424e+06;-3.42186e+06;-3.09094e+06;1959
20;-3.05677e+06;-4.16513e+06;-3.39416e+06;-3.05677e+06;2059
21;-3.05677e+06;-4.82342e+06;-3.34504e+06;-3.07014e+06;2156
22;-3.05677e+06;-4.19238e+06;-3.31001e+06;-3.07897e+06;2253
23;-3.05677e+06;-4.59481e+06;-3.3235e+06;-3.06874e+06;2353
24;-3.05175e+06;-4.57522e+06;-3.37349e+06;-3.05175e+06;2451
25;-3.05175e+06;-4.80728e+06;-3.34572e+06;-3.071e+06;2549
26;-3.05175e+06;-3.98893e+06;-3.31453e+06;-3.07704e+06;2646
27;-3.0515e+06;-4.22842e+06;-3.31928e+06;-3.0515e+06;2742
28;-3.04906e+06;-4.46138e+06;-3.34619e+06;-3.04906e+06;2838
29;-3.04103e+06;-4.37139e+06;-3.34408e+06;-3.04103e+06;2932
30;-3.04103e+06;-4.26821e+06;-3.33315e+06;-3.04445e+06;3031
31;-2.98487e+06;-4.68101e+06;-3.27185e+06;-2.98487e+06;3129
32;-2.98487e+06;-4.33346e+06;-3.28115e+06;-2.98487e+06;3226
33;-2.94129e+06;-4.51164e+06;-3.29025e+06;-2.94129e+06;3325
34;-2.94129e+06;-4.40367e+06;-3.29983e+06;-3.00838e+06;3423
35;-2.94129e+06;-4.59357e+06;-3.27588e+06;-2.98773e+06;3521
36;-2.94129e+06;-4.41913e+06;-3.26399e+06;-2.96023e+06;3620
37;-2.94129e+06;-3.98062e+06;-3.20661e+06;-2.94852e+06;3715
38;-2.94129e+06;-4.76877e+06;-3.15857e+06;-2.94642e+06;3811
39;-2.93204e+06;-4.7175e+06;-3.2549e+06;-2.93204e+06;3909
40;-2.91447e+06;-4.11711e+06;-3.21587e+06;-2.91447e+06;4008
41;-2.86675e+06;-4.04082e+06;-3.23947e+06;-2.86675e+06;4105
42;-2.84442e+06;-4.21591e+06;-3.20491e+06;-2.84442e+06;4204
43;-2.84442e+06;-3.9325e+06;-3.19592e+06;-2.89879e+06;4302
44;-2.84442e+06;-4.43438e+06;-3.21092e+06;-2.89545e+06;4401
45;-2.84442e+06;-4.08031e+06;-3.15274e+06;-2.89352e+06;4496
46;-2.84442e+06;-4.15194e+06;-3.17698e+06;-2.84532e+06;4596
47;-2.84442e+06;-4.656e+06;-3.12882e+06;-2.85587e+06;4694
48;-2.84442e+06;-4.31623e+06;-3.13351e+06;-2.86068e+06;4793
49;-2.84123e+06;-4.2129e+06;-3.11639e+06;-2.84123e+06;4892
50;-2.81809e+06;-4.149e+06;-3.06693e+06;-2.81809e+06;4988
51;-2.80549e+06;-4.24663e+06;-3.0938e+06;-2.80549e+06;5086
52;-2.77739e+06;-4.70971e+06;-3.21118e+06;-2.77739e+06;5180
53;-2.77739e+06;-4.43025e+06;-3.09665e+06;-2.80199e+06;5276
54;-2.77739e+06;-4.70249e+06;-3.09262e+06;-2.80446e+06;5372
55;-2.77739e+06;-4.33887e+06;-3.10075e+06;-2.78068e+06;5471
56;-2.77739e+06;-4.32546e+06;-3.09851e+06;-2.7835e+06;5568
57;-2.73917e+06;-4.63012e+06;-3.11814e+06;-2.73917e+06;5665
58;-2.73917e+06;-4.09224e+06;-3.08747e+06;-2.74299e+06;5763
59;-2.73917e+06;-3.83985e+06;-3.0372e+06;-2.79759e+06;5863
60;-2.73917e+06;-4.02621e+06;-3.0858e+06;-2.79072e+06;5959
61;-2.73917e+06;-4.26434e+06;-3.11777e+06;-2.79594e+06;6057
62;-2.73917e+06;-4.29665e+06;-3.1249e+06;-2.81076e+06;6156
63;-2.73917e+06;-4.16779e+06;-3.0639e+06;-2.78344e+06;6255
64;-2.73917e+06;-4.06156e+06;-3.07121e+06;-2.78873e+06;6353
65;-2.73917e+06;-4.37299e+06;-3.07853e+06;-2.74516e+06;6450
66;-2.7363e+06;-4.12063e+06;-3.06617e+06;-2.7363e+06;6548
67;-2.7363e+06;-4.05082e+06;-3.04131e+06;-2.73781e+06;6646
68;-2.7363e+06;-4.31731e+06;-3.04126e+06;-2.73936e+06;6743
69;-2.7096e+06;-3.78767e+06;-2.99456e+06;-2.7096e+06;6840
70;-2.68186e+06;-4.12168e+06;-3.00639e+06;-2.68186e+06;6937
71;-2.68186e+06;-4.20781e+06;-3.00184e+06;-2.68186e+06;7034
72;-2.68186e+06;-5.03503e+06;-3.09913e+06;-2.71169e+06;7132
73;-2.68186e+06;-4.14476e+06;-3.05712e+06;-2.68384e+06;7229
74;-2.68186e+06;-3.96028e+06;-3.06798e+06;-2.68958e+06;7326
75;-2.68092e+06;-4.04376e+06;-2.9793e+06;-2.68092e+06;7420
76;-2.68092e+06;-4.29841e+06;-3.00032e+06;-2.68092e+06;7517
77;-2.68092e+06;-4.50397e+06;-2.98144e+06;-2.68931e+06;7615
78;-2.68092e+06;-4.17409e+06;-3.03133e+06;-2.68522e+06;7715
79;-2.63358e+06;-3.85235e+06;-3.01737e+06;-2.63358e+06;7811
80;-2.63358e+06;-3.96078e+06;-3.00552e+06;-2.6717e+06;7905
81;-2.63358e+06;-3.81356e+06;-2.93148e+06;-2.64762e+06;8000
82;-2.63358e+06;-4.23598e+06;-3.01357e+06;-2.6855e+06;8098
83;-2.63358e+06;-4.32098e+06;-3.01778e+06;-2.67811e+06;8198
84;-2.63358e+06;-4.35784e+06;-2.94217e+06;-2.67075e+06;8298
85;-2.63358e+06;-4.12402e+06;-2.94757e+06;-2.63544e+06;8397
86;-2.60221e+06;-3.72933e+06;-2.89994e+06;-2.60221e+06;8497
