Iterations;Overall best;Worst;Average;Best;FFE
0;12278;-25832;-3520;12278;100
1;13429;-19975;-2335;13429;190
2;14500;-18905;81;14500;284
3;23072;-17718;3016;23072;382
4;23072;-12393;4473;20895;468
5;23072;-18649;4785;16885;564
6;23072;-17032;4993;16494;658
7;23072;-20255;5339;18666;748
8;23072;-12983;6052;19053;840
9;23072;-12194;5779;20262;934
10;23072;-10322;6554;22029;1020
11;23072;-10286;9138;21716;1108
12;23072;-4213;9962;21402;1204
13;24231;-5126;10396;24231;1298
14;25387;-3619;12296;25387;1382
15;27667;-1944;13011;27667;1478
16;27667;-1528;14535;25794;1570
17;29742;-864;15889;29742;1652
18;29742;-2195;15540;26148;1746
19;29742;3995;16155;25817;1838
20;29742;3556;16570;28546;1930
21;29742;6307;16834;28364;2026
22;29983;2553;17177;29983;2114
23;29983;1477;16566;26053;2206
24;29983;6448;18531;27915;2292
25;29983;4130;18201;29291;2372
26;29983;6950;18666;29512;2468
27;29983;4592;18480;28781;2550
28;29983;8071;19803;28003;2638
29;30361;9952;19109;30361;2724
30;30361;8973;19369;29648;2816
31;30361;7800;18319;26210;2912
32;30361;-4297;17031;29125;3006
33;30361;6864;17909;28385;3094
34;30361;774;18274;28408;3182
35;30361;9119;17985;27756;3272
36;30361;7093;18085;27913;3370
37;30462;3330;18050;30462;3450
38;30462;4181;18803;29250;3540
39;30462;8061;18889;29154;3626
40;30462;7956;19807;29964;3706
41;31422;10959;20286;31422;3796
42;31422;10308;19713;29263;3884
43;31422;6990;18428;28076;3970
44;31422;6202;18368;27326;4054
45;31422;8779;17923;29572;4150
46;31422;5262;18445;27062;4244
47;31422;5587;18071;28459;4336
48;31422;6491;18277;29402;4428
49;31422;7383;18764;31243;4526
50;31566;3298;18806;31566;4618
51;31898;13068;20105;31898;4708
52;31898;7844;19669;29984;4800
53;31898;10367;20012;30576;4894
54;31898;8609;20246;28369;4988
55;31898;3902;20050;27420;5076
56;31898;6940;20012;30494;5162
57;31898;10356;20229;29102;5254
58;31898;9932;20446;29211;5338
59;31898;8317;20504;29959;5426
60;31898;9397;21079;28008;5512
61;31898;6016;20965;28224;5604
62;31898;12720;21384;27924;5692
63;31898;10870;20423;27392;5786
64;31898;6539;20585;28945;5874
65;31898;10214;20063;28252;5966
66;31898;4244;19291;26602;6058
67;31898;8305;18641;26700;6146
68;31898;7313;18248;27585;6244
69;31898;2907;18412;26500;6332
70;31898;4741;18132;26644;6432
71;31898;6390;17652;27322;6526
72;31898;-242;18213;28190;6616
73;31898;2579;18935;28254;6712
74;31898;7033;20249;27949;6800
75;31898;10684;20513;31107;6886
76;31898;6098;20581;28140;6986
77;31898;6445;19725;28140;7078
78;31898;6412;19156;28140;7170
79;31898;4404;18654;27704;7260
80;31898;8179;18743;25001;7346
81;31898;9647;19068;25851;7430
82;31898;8304;19317;27895;7526
83;31898;9022;19971;28139;7618
84;31898;2803;20091;28457;7706
85;31898;10363;20334;27645;7796
86;31898;7174;20134;27170;7884
87;31898;10461;19451;27639;7972
88;31898;9562;19417;27699;8064
89;31898;8918;19253;27735;8154
90;31898;9284;19276;24529;8242
91;31898;11260;19154;26734;8336
92;31898;9469;19043;26039;8426
93;31898;9808;19047;26722;8512
94;31898;7047;19228;27907;8602
95;31898;10220;18890;24580;8696
96;31898;7234;18878;26632;8790
97;31898;11491;18909;25545;8874
98;31898;9245;18730;25545;8964
99;31898;11386;18623;26086;9052
